Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Pictomancer,169175.58,35067.69,34287.66,33815.32,33235.23,33014.51,32823.03,32484.51,32150.29,31767.24,31390.45,31155.40,30919.69,30152.83,20499.30
Bard,164156.48,29183.22,28609.43,28287.75,27922.75,27785.50,27664.23,27428.89,27206.60,26995.17,26739.62,26615.08,26458.41,25986.73,19416.44
Monk,151472.37,30366.57,29699.99,29375.36,28969.26,28813.47,28653.52,28394.80,28150.68,27878.10,27588.88,27397.18,27221.16,26721.41,17838.93
Dragoon,145932.62,30564.61,29977.37,29617.59,29176.60,29022.53,28839.39,28511.93,28200.61,27791.71,27409.19,27201.86,26963.35,26373.87,20859.64
DarkKnight,99423.83,19546.18,19054.59,18796.12,18503.21,18389.75,18312.42,18123.89,17944.93,17754.40,17524.59,17403.69,17243.27,16823.60,12129.51
Astrologian,95600.57,18418.19,17884.65,17560.17,17210.32,17066.18,16937.18,16702.80,16495.76,16289.55,16051.42,15909.59,15737.05,15302.87,8375.66
Paladin,94793.55,19591.37,19106.80,18854.44,18490.87,18327.48,18180.17,17889.36,17560.64,17202.67,16833.92,16642.89,16441.78,15959.83,9858.06
Scholar,69436.82,14698.61,14228.28,13900.14,13541.13,13419.38,13311.31,13112.75,12924.48,12718.48,12503.34,12382.46,12252.74,11846.77,5388.29
BlackMage,31420.70,30578.05,30033.63,29634.93,29204.08,29060.48,28841.49,28554.29,28057.04,27718.06,27337.91,27004.69,26821.52,26025.50,21658.70
Reaper,30703.72,30326.55,29570.05,29222.44,28738.51,28608.00,28472.33,28224.22,27913.37,27676.07,27484.97,27373.34,27226.68,26728.76,19374.68
Ninja,30486.27,29619.02,28990.59,28675.38,28269.77,28102.75,27946.65,27662.93,27433.90,27156.22,26880.12,26728.57,26551.97,26020.81,20230.23
RedMage,30360.37,29721.74,28756.74,28446.02,27972.19,27842.21,27717.94,27336.39,27101.60,26776.55,26492.89,26306.32,26154.78,25752.93,21319.95
Samurai,30326.72,29295.27,28438.81,28043.44,27556.70,27403.74,27190.63,26893.55,26563.84,26305.83,26036.83,25842.09,25599.48,25045.54,16931.65
Dancer,29923.58,29155.24,28574.04,28163.98,27666.93,27492.63,27342.60,27045.05,26764.49,26416.70,26114.36,25936.93,25732.65,25091.11,16135.44
Viper,28337.61,28032.43,27249.87,26725.31,26209.69,26023.39,25844.49,25543.50,25278.62,25027.16,24747.83,24550.50,24391.47,23904.04,16767.83
Summoner,27744.73,27697.54,27203.09,26559.68,26134.44,25863.71,25608.41,25414.13,25120.83,24754.33,24518.80,24469.11,24233.97,23766.45,21814.53
Machinist,27487.16,27213.34,26626.32,26255.11,25839.20,25706.87,25604.70,25384.10,25180.06,24862.94,24588.31,24417.13,24247.32,23723.38,19320.48
Warrior,19987.17,19625.22,19149.37,18908.87,18551.73,18430.52,18323.08,18081.68,17806.71,17603.39,17345.55,17216.14,17048.56,16485.86,11237.58
Gunbreaker,19430.37,19093.26,18695.98,18533.97,18237.83,18165.57,18057.03,17868.72,17697.42,17517.67,17277.02,17150.02,17013.73,16563.49,11718.99
WhiteMage,17948.98,17298.47,16745.83,16316.02,15915.46,15750.64,15629.44,15355.08,15141.98,14905.99,14627.30,14483.61,14330.35,13861.56,10015.66
Sage,16092.52,15447.44,15013.37,14609.33,14209.20,14015.18,13911.91,13733.69,13572.85,13360.31,13082.41,12931.51,12729.82,12267.49,9439.60
