Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Pictomancer,45333.08,42546.46,41042.66,40303.24,39220.62,38742.29,38371.55,37735.53,36985.47,36295.26,35543.48,35094.61,34615.33,33158.29,14305.04
Dragoon,38530.77,37397.61,36564.86,36024.7,35358.39,35011.17,34750.38,34283.51,33789.94,33252.15,32563.4,32141.81,31705.35,30396.29,18118.38
Viper,39470.41,37095.83,35434.48,34599.41,33591.86,33126.1,32832.86,32307.09,31742.77,31255.44,30571.92,30225.81,29880.84,28846.03,19057.19
Monk,36717.33,35366.9,34316.52,33753.68,33132.11,32823.28,32580.28,32126.43,31673.25,31147.08,30556.07,30209.75,29748.87,28761.11,22520.36
RedMage,36485.47,35106.39,34380.09,33740.18,32869.4,32555.29,32178.32,31516.36,31004.42,30473.52,29964.63,29664.85,29405.33,28363.87,15561.94
Dancer,36646.64,34957.43,34101.8,33481.06,32801.61,32509.11,32273.23,31791.61,31376.45,30942.06,30411.75,30106.84,29823.86,28680.6,21710.17
BlackMage,35411.27,34338.08,33449.57,33067.2,32312.21,31877.84,31568.64,30980.01,30330.69,29753.39,28717.54,28384.74,27992.51,26907.25,21043.42
Samurai,35837.15,34446.48,33374.75,32759.45,31917.23,31448.39,31164.83,30478.28,29891.36,29347.87,28758.86,28476.71,28103.26,26779.83,12964.04
Bard,35825.44,33343.15,32383.11,31952.77,31346.43,31085.19,30895.82,30491.32,30065.5,29653.1,29124.52,28867.53,28529.15,27583.79,10577.5
Summoner,33696.75,32933.88,32358.42,31998.29,31383.4,31064.65,30907.9,30539.39,30351.8,30035.11,29478.8,29314.4,28965.35,27884.51,20803.87
Reaper,35581.05,33642.94,32652.95,32043.58,31256.34,31047.43,30808.86,30295.41,29887.46,29399.76,28860.1,28520.03,28219.83,27124.79,16370.12
Ninja,36501.53,33106.93,32113.23,31686.78,31140.79,30926.76,30741.1,30350.99,29965.21,29585.3,29181.06,28930.52,28612.45,27448.12,13102.06
Machinist,33724.52,32953.36,32048.45,31238.36,30380.5,30141.25,29864.54,29407.46,28935.95,28409.97,27811.97,27455.49,27093.82,26229.17,17781.55
Paladin,28649.25,27038.79,26174.06,25751.56,25129.82,24860.86,24612.12,24116.02,23551.04,22969.78,22325.43,21984.26,21547.48,19886.92,10441.32
Gunbreaker,25671.8,23854.01,23004.0,22685.32,22130.58,21911.21,21708.45,21325.21,20911.21,20498.85,20015.51,19676.98,19304.55,18062.25,6800.36
DarkKnight,26278.23,23922.35,22843.78,22224.89,21498.59,21195.53,20972.57,20576.17,20185.89,19818.13,19378.03,19090.69,18719.64,17892.3,10864.15
Warrior,23701.58,22783.54,22073.92,21752.7,21229.06,21006.45,20751.54,20428.45,20040.09,19612.13,19102.9,18780.97,18464.69,17562.47,10470.43
WhiteMage,24142.23,23091.39,21674.56,20403.93,19218.89,18706.73,18318.29,17633.1,17094.12,16560.28,15954.81,15623.25,15271.74,14182.35,5944.13
Astrologian,21274.09,19848.72,18866.49,18252.38,17544.86,17208.46,16958.26,16477.77,16038.98,15573.76,15088.5,14817.95,14546.44,13847.68,4796.24
Sage,20452.39,19260.72,18083.94,17445.31,16719.89,16409.34,16136.89,15561.54,15101.35,14559.92,13996.22,13602.53,13287.37,12092.82,0.0
Scholar,18124.62,16432.33,15468.84,14915.98,14303.43,14036.64,13772.34,13338.85,12922.9,12549.62,12162.23,11925.06,11655.71,10877.82,2523.17
