Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
BlackMage,11118.91,11050.63,10874.82,10735.11,10537.63,10472.88,10421.88,10310.55,10188.52,10042.92,9844.87,9758.24,9516.66,8718.69,6084.78
Monk,10655.77,10609.29,10426.15,10252.64,10088.59,10036.04,10009.21,9900.52,9738.64,9655.80,9518.13,9416.52,9358.91,9115.67,5977.36
Samurai,22488.26,10285.50,10087.10,10028.22,9891.66,9834.07,9805.70,9684.82,9601.47,9514.38,9379.63,9285.66,9215.13,8994.92,7713.96
Pictomancer,13317.46,10818.30,10411.21,10217.54,9925.31,9815.10,9760.71,9616.35,9465.15,9286.68,9082.85,8970.15,8781.97,8321.10,7034.07
Dragoon,10415.45,10220.19,10112.05,10021.14,9857.45,9805.57,9741.01,9630.48,9507.65,9361.07,9181.12,9038.57,8795.84,8043.41,5355.91
Viper,10058.09,10034.59,9980.76,9906.22,9771.86,9721.17,9665.88,9601.07,9535.77,9438.10,9313.77,9235.52,9142.20,8792.35,6145.80
Reaper,10235.34,9992.30,9869.98,9743.72,9660.73,9574.19,9524.80,9375.78,9286.30,9203.39,9079.36,9007.81,8928.01,8611.29,6556.19
Ninja,26112.83,10201.95,9891.85,9744.75,9623.25,9565.64,9510.83,9307.15,9171.33,9087.08,8876.46,8774.44,8649.72,8050.35,6783.50
Machinist,9924.05,9753.65,9550.25,9465.73,9371.66,9342.16,9293.92,9195.86,9136.66,9039.08,8851.95,8751.18,8603.02,8266.87,5375.68
Summoner,9973.99,9855.51,9615.93,9585.85,9274.07,9263.83,9152.25,8989.30,8875.42,8748.40,8592.79,8548.23,8429.09,8261.66,7603.41
RedMage,9550.79,9515.26,9369.55,9276.01,9133.29,9100.00,9031.02,8935.36,8873.93,8707.87,8518.46,8457.53,8353.86,7881.18,6853.35
Dancer,9598.72,9455.73,9365.46,9280.24,9131.06,9045.33,8997.04,8890.18,8781.07,8671.31,8518.45,8407.55,8307.08,7993.29,6655.97
Bard,20725.70,11210.62,9390.78,9237.27,9126.43,9042.57,8980.22,8837.89,8761.13,8637.53,8492.08,8438.36,8279.11,7832.96,4729.51
Warrior,16075.48,6702.81,6546.15,6496.64,6418.05,6381.22,6355.91,6312.60,6236.24,6172.28,6096.63,6047.83,6010.61,5822.65,4674.45
Paladin,6749.41,6670.61,6561.64,6492.64,6424.34,6373.22,6343.61,6260.04,6184.72,6113.10,6037.67,5995.77,5934.59,5757.91,4669.51
Gunbreaker,21234.19,6596.11,6494.31,6405.74,6330.68,6309.11,6274.59,6201.79,6156.96,6105.40,5989.37,5924.20,5851.65,5540.04,4168.17
DarkKnight,6674.29,6478.01,6342.12,6273.07,6172.91,6138.73,6097.30,6021.75,5976.31,5890.64,5824.35,5797.80,5752.88,5565.56,4031.08
Astrologian,6089.21,5491.00,5138.92,5054.65,4825.65,4734.15,4666.70,4550.40,4368.93,4213.37,3929.51,3781.78,3608.53,3264.23,1667.90
Scholar,7575.06,5559.75,5119.21,4976.23,4720.39,4648.21,4582.45,4438.39,4297.19,4169.78,4011.27,3955.37,3776.96,3509.12,2104.04
Sage,5541.06,5323.85,5065.25,4862.06,4632.71,4562.50,4487.14,4280.16,4121.51,3956.56,3793.95,3726.91,3618.05,3251.50,1893.75
WhiteMage,5487.61,5210.35,4929.80,4810.49,4581.89,4464.48,4355.71,4181.49,4065.76,3874.85,3626.32,3353.94,3198.78,2894.56,1638.27
