Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
BlackMage,28325.28,28298.54,27936.28,27785.66,27417.26,27209.08,27050.81,26850.67,26680.44,26200.61,26046.71,25933.38,25527.36,24857.74,19544.32
Dragoon,28642.88,28353.57,27860.60,27560.62,27191.88,27109.81,26890.88,26691.03,26486.55,26232.46,25958.94,25693.26,25516.93,24858.47,18644.86
Monk,28384.48,28226.84,27858.02,27479.03,26995.78,26853.03,26721.82,26539.60,26279.95,25961.84,25570.29,25360.51,25051.42,24577.75,18129.21
Reaper,29235.22,28516.94,28050.38,27668.12,26925.62,26821.18,26678.37,26384.51,26000.52,25528.54,25188.76,24979.66,24662.19,23802.08,19144.37
Viper,29220.44,28470.48,28013.03,27628.09,27065.13,26808.51,26401.51,26032.87,25790.37,25445.43,25079.79,24979.68,24652.79,24186.17,21608.44
Samurai,28225.38,27761.16,27324.56,27104.84,26776.24,26678.17,26503.08,26302.15,26049.45,25616.93,25390.71,25273.00,24916.43,24259.52,22631.51
Ninja,27594.01,27497.10,27012.50,26646.69,26133.99,26004.42,25876.67,25583.88,25341.49,24967.54,24734.48,24574.36,24416.57,23914.58,17361.46
Pictomancer,27916.05,27658.66,26960.50,26582.67,26049.88,25872.80,25708.79,25345.58,25080.78,24802.77,24339.22,24135.58,23987.71,23286.76,17367.47
RedMage,27321.45,26814.47,26213.37,25915.57,25360.27,25237.33,24985.99,24762.74,24466.96,24280.32,23853.85,23676.86,23380.89,23141.94,18212.29
Summoner,25848.21,25753.12,25372.74,25282.29,24822.09,24696.52,24632.46,24597.83,24545.68,24499.54,24280.25,24180.49,24101.49,23795.16,23547.17
Machinist,26676.41,26366.02,25327.13,24941.25,24720.42,24554.76,24377.00,24062.11,23795.25,23619.80,23430.01,23213.32,23121.08,22750.70,17501.30
Bard,25314.08,24479.35,24036.49,23910.37,23546.47,23506.65,23455.31,23269.28,23177.89,23036.39,22828.72,22637.11,22460.40,22152.45,21301.70
Dancer,24812.92,24414.25,23973.19,23713.85,23289.47,23160.14,23045.72,22837.70,22628.03,22294.81,22093.64,21963.71,21907.17,21578.79,20504.68
Gunbreaker,19743.69,19548.15,18964.19,18750.56,18572.30,18504.89,18448.24,18271.82,18073.26,17807.81,17630.48,17523.19,17418.62,17038.93,12980.00
Warrior,18850.70,18840.10,18626.93,18456.29,18304.68,18225.17,18120.19,17963.36,17831.86,17729.84,17535.88,17432.43,17292.90,16751.20,13035.61
Paladin,19221.78,19094.50,18762.78,18458.12,18100.96,17980.84,17910.39,17743.42,17588.86,17415.79,17281.65,17173.35,17095.80,16471.12,11787.46
DarkKnight,18469.34,17762.57,17467.35,17264.15,17039.97,16935.02,16881.06,16709.52,16532.93,16378.96,16211.37,16115.49,15990.58,15432.43,12321.36
WhiteMage,16386.28,15937.09,15508.31,15133.94,14638.94,14074.31,13836.80,13558.95,13238.84,12968.51,12359.70,12105.31,11889.15,10791.46,8604.48
Sage,15616.27,15457.40,14873.53,14693.39,14181.46,13971.27,13760.89,13501.31,13190.66,12890.90,12492.85,12325.26,12171.46,11388.18,8619.09
Astrologian,15766.16,14597.67,14278.28,14014.93,13582.66,13415.25,13255.23,12905.58,12640.04,12298.39,11986.12,11682.13,11523.89,10778.38,6611.25
Scholar,14684.82,13847.35,13361.33,13108.97,12745.93,12527.56,12395.20,12179.00,11823.49,11530.82,11335.20,11081.40,10980.09,10438.82,7781.93
