Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Pictomancer,13511.92,13327.45,12919.86,12699.09,12463.92,12354.38,12317.21,12158.48,12014.68,11751.48,11409.41,11215.35,11097.00,10682.72,9076.37
BlackMage,12978.10,12918.23,12603.47,12443.01,12239.24,12145.84,12076.50,11945.90,11828.56,11586.00,11399.20,11326.12,11274.96,10926.68,10310.21
Ninja,12751.86,12710.56,12527.97,12437.69,12186.10,12089.12,11987.35,11785.75,11577.54,11388.61,11166.36,11079.25,10960.89,10672.08,10045.92
Monk,12789.66,12737.26,12587.49,12417.89,12131.76,12081.35,12024.28,11895.19,11750.21,11649.18,11510.14,11275.50,11132.01,10779.68,8352.38
Dragoon,12795.14,12711.33,12512.07,12296.05,12096.91,12023.90,11952.28,11775.67,11668.68,11500.31,11388.28,11277.75,11137.47,10999.89,9389.42
Dancer,12850.15,12557.82,12459.17,12298.28,11997.72,11914.52,11831.00,11673.86,11542.61,11382.23,11167.13,11060.79,10697.33,9966.35,8381.86
Viper,12070.22,12028.90,11788.70,11691.98,11636.63,11602.12,11539.99,11461.28,11272.62,11173.00,11033.99,10972.68,10962.66,10785.32,10295.52
Bard,11986.28,11938.40,11745.76,11631.14,11533.24,11530.01,11474.45,11403.01,11256.62,11057.36,10909.89,10874.18,10835.69,10421.42,9684.46
Samurai,12362.86,12288.59,11930.32,11647.28,11501.66,11457.74,11333.26,11212.26,11117.09,10990.07,10897.75,10841.84,10757.11,10516.56,9977.68
Reaper,12699.55,12426.39,12141.26,11850.44,11523.87,11450.48,11411.20,11141.47,11038.63,10926.84,10776.47,10695.41,10595.95,10430.74,9567.03
Summoner,11842.50,11832.65,11740.20,11477.21,11358.11,11289.43,11214.36,10961.23,10708.52,10486.68,10349.22,10246.98,10173.14,9623.20,9079.22
RedMage,11815.10,11783.21,11519.13,11367.20,11238.83,11184.10,11077.74,10921.99,10891.67,10749.23,10594.37,10587.45,10467.44,10270.11,9843.77
Machinist,12184.13,12098.16,11573.43,11405.49,11185.75,11126.27,11069.42,10953.13,10807.49,10676.13,10597.83,10532.02,10460.33,10305.77,9184.90
Gunbreaker,8335.55,8048.73,7840.46,7726.99,7617.98,7565.52,7530.08,7456.53,7380.61,7320.72,7236.50,7187.94,7138.91,6882.58,5797.10
Warrior,7948.74,7910.72,7765.13,7696.88,7587.18,7546.46,7488.48,7404.45,7322.55,7240.42,7165.57,7116.90,7050.26,6881.82,5149.35
Paladin,8052.27,7987.78,7685.89,7656.42,7556.67,7491.38,7461.49,7285.83,7186.51,7059.10,6999.54,6932.88,6788.87,6511.04,6017.39
DarkKnight,8198.51,8002.89,7890.00,7702.25,7527.08,7461.47,7383.46,7263.17,7134.64,7014.54,6909.51,6828.51,6761.34,6529.59,5688.28
Astrologian,7219.04,7156.05,7001.79,6892.13,6734.31,6619.86,6559.08,6484.88,6306.15,6211.40,6069.34,6005.32,5940.55,5625.18,5123.31
Scholar,7340.82,7207.76,6933.16,6807.06,6597.85,6555.93,6487.46,6351.43,6171.02,6017.69,5892.36,5804.61,5623.68,5338.71,3642.44
WhiteMage,7450.44,7289.59,6999.38,6839.86,6638.70,6536.13,6448.85,6186.60,5998.47,5856.37,5704.89,5657.06,5535.02,5325.66,4060.76
Sage,7031.08,6873.19,6708.34,6606.42,6519.18,6446.93,6401.18,6337.78,6191.98,6024.66,5842.18,5766.25,5642.23,5168.02,4201.29
