Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Pictomancer,8256.17,8126.66,7854.73,7655.91,7364.79,7265.13,7126.14,7000.02,6848.86,6716.44,6511.12,6419.46,6336.82,5930.83,4399.94
Bard,7832.35,7689.64,7538.40,7438.25,7291.77,7230.76,7159.90,7009.71,6903.93,6737.41,6544.24,6458.57,6367.40,6118.61,5235.47
Dancer,8119.83,7794.38,7605.19,7406.25,7176.44,7124.64,7075.64,6932.31,6803.98,6685.95,6523.14,6448.03,6339.81,6104.85,4694.19
BlackMage,7915.17,7780.54,7460.37,7345.67,7176.27,7114.08,7073.69,6958.06,6833.34,6700.60,6549.18,6478.90,6344.62,6095.37,3683.31
Samurai,8194.31,7896.29,7621.59,7436.80,7122.04,7045.22,6973.73,6793.21,6630.93,6501.98,6325.76,6248.35,6145.99,5835.16,3636.52
Dragoon,7872.77,7700.62,7418.37,7284.09,7029.32,6956.31,6887.39,6740.79,6581.86,6431.85,6244.97,6163.61,6088.64,5751.30,3955.52
Monk,8004.10,7871.16,7465.57,7260.21,7012.92,6941.49,6878.20,6776.96,6637.50,6527.86,6424.90,6329.58,6243.21,5931.14,4453.04
Viper,7436.61,7352.09,7164.66,7052.90,6803.91,6775.16,6687.43,6602.98,6517.22,6365.94,6211.36,6159.79,6035.86,5716.28,4925.28
Reaper,7366.82,7350.41,7187.05,6987.06,6773.83,6711.27,6599.33,6432.43,6314.86,6175.29,5955.35,5878.83,5764.85,5490.21,3616.95
RedMage,7290.26,7203.21,7120.08,7066.58,6783.57,6694.32,6632.95,6555.11,6333.62,6219.10,6003.23,5808.83,5742.27,5461.62,4083.56
Ninja,7795.07,7649.26,7175.94,6991.09,6672.80,6632.78,6561.62,6418.94,6260.46,6150.22,6042.72,5984.83,5919.02,5545.32,4359.59
Machinist,7440.35,7246.53,7047.81,6887.94,6689.83,6601.65,6563.36,6454.15,6345.84,6237.32,6109.43,6026.44,5964.97,5766.14,4227.12
Summoner,7259.65,7142.46,6922.71,6809.10,6653.46,6586.76,6517.31,6403.45,6244.45,6090.76,5942.36,5796.02,5727.20,5385.11,4064.77
Gunbreaker,5068.79,4985.89,4838.11,4684.23,4553.92,4476.97,4436.89,4338.70,4268.33,4167.87,4034.98,3943.20,3886.70,3662.07,2999.65
DarkKnight,5233.20,4872.72,4660.37,4592.49,4478.27,4434.34,4388.06,4292.13,4220.02,4118.74,4011.46,3932.73,3850.00,3639.45,2775.30
Paladin,4945.40,4844.75,4686.60,4586.12,4474.81,4428.44,4384.97,4284.95,4194.82,4105.07,4014.20,3952.08,3860.65,3619.25,2607.36
Warrior,4898.17,4784.57,4661.70,4528.61,4390.45,4346.18,4293.91,4208.96,4141.99,4062.11,3955.95,3896.45,3835.68,3562.11,2675.21
Astrologian,4683.18,4628.49,4384.19,4267.97,4054.96,3962.50,3904.63,3803.81,3694.02,3582.64,3438.96,3366.42,3249.12,2950.08,1863.18
WhiteMage,4671.99,4519.19,4223.49,4084.45,3887.77,3793.62,3718.35,3528.61,3301.04,3099.58,2940.94,2846.88,2703.56,2483.06,1487.60
Sage,4360.27,4300.34,4038.72,3719.62,3525.70,3460.35,3376.41,3223.79,3030.88,2907.13,2735.35,2632.22,2552.41,2353.97,1173.46
Scholar,4243.93,4004.97,3795.85,3644.95,3430.20,3334.95,3241.67,3096.73,2967.69,2828.08,2696.05,2596.89,2487.52,2228.51,0.00
