Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Pictomancer,16669.27,16325.80,15897.48,15367.76,14718.26,14490.94,14313.30,13679.32,13039.35,12361.66,11750.89,11539.45,11279.97,10706.45,7804.27
BlackMage,15930.55,15129.00,14316.46,14011.37,13571.74,13400.98,13307.88,13023.94,12821.20,12584.18,12317.77,12129.54,11876.28,11270.36,7504.09
Monk,15272.32,14981.67,14467.62,14174.12,13618.48,13338.34,13023.33,12495.66,11621.19,10906.16,10301.35,10121.64,9803.98,9293.96,6996.40
Dancer,15488.02,14946.08,14367.60,13879.62,13161.65,12974.05,12485.49,9294.52,8738.09,8258.14,8018.19,7887.89,7689.20,7287.44,5330.37
Reaper,14703.94,14356.10,14004.91,13518.58,13018.83,12829.26,12603.56,12209.96,11723.33,11356.99,10922.12,10735.65,10519.81,9594.75,5667.70
Samurai,14874.20,14632.61,13713.07,13420.66,13001.81,12801.31,12585.03,12248.69,11745.63,11206.09,10700.54,10236.42,9995.58,9179.86,5736.29
RedMage,13816.43,13778.23,13614.28,13128.33,12692.02,12372.66,12194.94,11780.97,11477.65,11128.51,10775.99,10670.66,10600.77,10206.53,9750.01
Viper,14416.93,13783.50,13224.77,12786.56,12361.20,12102.38,11897.44,11664.86,11399.73,11154.39,10850.85,10636.28,10386.25,9536.40,6207.49
Machinist,14187.24,13429.25,12799.94,12558.98,12191.99,12012.01,11848.87,11586.65,11233.66,10992.01,10723.46,10549.81,10369.25,9785.76,6373.75
Dragoon,13731.77,13585.45,12888.27,12233.37,11524.48,11152.93,10947.99,10513.61,10152.55,9864.02,9606.83,9484.95,9313.86,9021.79,6188.48
Summoner,13845.20,12738.95,12079.32,11648.64,11082.94,10928.45,10751.79,10467.14,10134.20,9933.39,9746.37,9615.29,9546.58,9290.88,6044.96
Ninja,13544.29,13437.67,12876.48,12267.35,11055.08,10742.29,10640.99,10235.08,9889.97,9616.96,9345.92,9093.00,8788.84,8588.66,6702.22
Bard,14465.66,13665.80,12283.34,9736.88,9156.66,9083.62,8980.38,8782.91,8636.31,8524.36,8363.35,8272.30,8202.23,8060.72,5113.64
Warrior,8984.81,8629.80,8245.27,8120.85,7970.09,7910.81,7859.12,7752.54,7644.85,7542.88,7421.24,7346.63,7268.77,7059.15,5154.19
Gunbreaker,8921.94,8606.04,8328.95,8141.49,7942.59,7873.68,7789.77,7691.03,7568.19,7405.28,7265.23,7222.85,7155.88,6856.06,4372.10
Paladin,8905.75,8462.06,8197.17,8039.77,7851.52,7767.01,7698.61,7583.72,7478.36,7374.43,7255.67,7187.07,7110.71,6875.15,3357.48
DarkKnight,9507.97,9029.86,8547.63,8352.88,7970.03,7717.22,7503.68,7181.53,6795.12,6466.48,6231.13,6126.51,5977.90,5745.25,4022.09
WhiteMage,8599.39,8138.52,7597.47,7320.17,7030.52,6929.46,6798.05,6570.91,6376.88,6131.78,5925.08,5826.19,5718.73,5341.25,2168.55
Sage,8068.01,7558.73,7277.35,7144.45,6929.35,6825.47,6750.49,6606.23,6470.21,6295.61,6048.58,5942.91,5802.74,5436.32,3245.73
Scholar,8269.21,7759.08,7215.63,6794.62,5997.43,5795.39,5674.46,5469.60,5316.31,5170.76,4993.32,4906.98,4804.41,4540.31,2720.69
Astrologian,8506.85,8283.18,7358.32,6616.76,5383.30,5216.21,5108.25,4979.75,4832.09,4690.41,4560.31,4490.03,4390.41,4121.64,3525.56
