Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Dragoon,38580.37,38053.19,36373.63,35674.29,35433.17,35153.51,34636.79,34257.64,33641.43,33333.79,32429.49,31803.04,31490.75,30347.60,24650.81
Pictomancer,38263.11,38228.90,38004.06,37472.65,35478.42,35131.72,34816.66,34555.04,33845.33,32587.37,31809.50,31715.82,30152.33,29475.66,25798.43
Monk,36814.52,36788.21,35996.60,35501.44,35080.08,34464.17,34239.16,33647.02,33113.82,32889.34,32155.40,31989.08,31516.16,29816.77,23804.59
Samurai,35804.68,35627.61,35804.68,34919.33,34439.71,34140.83,32859.05,32445.33,32217.83,31767.83,30093.61,29368.07,28197.90,28002.34,19206.28
Ninja,35524.10,35387.01,34722.39,34052.25,33821.09,33813.61,32791.20,32378.02,32224.94,31654.55,31393.42,31369.97,30790.29,28303.37,23883.37
Reaper,34959.25,34928.51,34737.06,34215.30,34126.49,33804.30,33680.76,33150.40,32320.78,31547.76,31045.95,30981.58,30745.32,29816.95,21877.78
RedMage,36804.32,36559.94,35815.03,35291.81,33693.25,33539.07,33382.30,33180.93,32366.14,31684.62,31228.71,30879.77,30430.53,29789.80,29018.21
BlackMage,34958.94,34950.70,34800.05,34196.01,33317.02,33230.02,32992.15,32242.68,31831.61,31200.52,30097.18,29704.21,29489.37,28131.47,26954.49
Machinist,33385.94,33342.50,33168.75,33031.39,32977.90,32862.52,32538.35,32414.18,32345.54,32189.71,31795.55,30944.03,30167.34,27712.67,27255.91
Summoner,33479.47,33417.11,33167.66,33479.47,32855.84,32515.05,32775.90,32254.20,32126.93,32083.11,32064.18,31140.09,31163.45,31116.72,26464.03
Dancer,34900.13,34771.79,34557.49,33539.27,32946.05,32497.70,31688.31,31376.09,30863.42,30426.60,29992.12,29465.12,29270.66,28477.10,26124.72
Bard,34897.80,34810.33,33917.41,33167.79,32443.25,32079.61,31770.24,31271.82,30605.56,29946.00,29495.07,29089.27,28964.64,28428.78,27603.16
Viper,33606.08,33588.10,33606.08,33516.19,31975.82,31812.48,31251.45,30972.46,30467.83,30280.90,29900.92,29897.35,29306.97,26570.72,25769.05
Paladin,26256.31,26077.21,25627.98,25092.82,24924.81,24261.27,23874.28,23572.55,22934.15,22744.63,21544.34,21100.70,20338.16,17893.03,13633.09
DarkKnight,25137.37,24616.63,24061.41,23643.94,23048.26,22665.02,22301.35,21893.18,21158.58,20587.01,20037.52,19801.77,19538.05,18565.45,12980.47
Gunbreaker,25197.64,24777.21,23960.18,23815.72,22840.75,22550.84,22230.09,21846.17,21308.83,20449.92,20162.31,19662.51,19464.54,17513.53,13208.40
Warrior,22985.60,22975.91,22937.11,22756.29,22404.98,22089.64,21759.75,21250.74,21060.57,19879.76,19483.32,19305.07,18943.40,17719.93,14921.94
WhiteMage,24044.04,23809.09,22308.21,22060.71,21430.47,21027.86,20737.22,20127.35,19507.87,18797.63,18080.14,17855.19,17396.93,16444.79,13595.69
Astrologian,18875.29,18807.32,18177.95,17612.18,17245.49,17132.29,16960.44,16387.54,16108.03,15690.60,15427.07,15303.11,14916.83,14168.99,9335.99
Sage,19132.79,18648.29,18025.09,17155.45,16597.33,16257.95,16069.57,15576.65,15000.42,14396.52,13753.18,13446.87,13146.58,12299.53,10036.49
Scholar,17411.67,17161.20,16337.50,16250.05,15031.81,14819.29,14460.49,13981.40,13426.22,12890.48,12063.66,11758.67,11005.05,10630.46,9715.39
