Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Bard,8130.57,8006.48,7824.77,7554.53,7408.75,7317.91,7293.75,7012.64,6804.68,6734.49,6417.20,6386.19,6326.63,5955.90,5408.16
Samurai,8400.28,7951.36,7752.64,7554.76,7386.36,7315.02,7212.21,7013.10,6882.71,6704.07,6408.39,6261.02,6178.85,5898.13,3021.33
Dancer,8117.94,8036.64,7863.71,7585.43,7315.30,7213.31,7132.69,7017.32,6878.61,6722.27,6570.74,6498.63,6386.70,6024.87,4589.75
Pictomancer,8528.08,7840.07,7666.17,7455.02,7284.00,7193.11,7128.14,6992.67,6793.33,6623.49,6469.48,6395.26,6276.72,5898.18,3908.37
Dragoon,7809.05,7684.09,7523.61,7368.67,7199.97,7180.34,7113.89,6926.45,6782.92,6624.87,6449.54,6373.02,6265.12,5763.55,4416.55
Monk,7968.54,7806.18,7565.36,7450.16,7229.09,7101.80,7016.23,6875.67,6788.00,6632.14,6448.79,6319.02,6190.63,5911.76,1704.81
BlackMage,8078.51,7786.32,7587.77,7455.97,7148.34,7042.10,7002.99,6879.53,6778.91,6631.11,6547.05,6442.13,6347.38,6105.58,3636.51
Viper,7425.92,7319.50,7223.33,7039.75,6839.25,6779.24,6726.66,6613.55,6489.72,6350.08,6254.81,6170.46,6072.61,5734.23,4720.36
RedMage,7534.95,7471.43,7276.89,7125.02,6825.71,6755.25,6680.01,6440.68,6339.28,6222.86,6086.13,6028.35,5957.44,5743.36,5018.70
Machinist,7578.49,7387.88,7057.73,6896.84,6704.11,6629.50,6578.27,6484.27,6382.32,6273.33,6153.06,6087.88,6004.46,5761.15,3508.75
Summoner,7408.10,7205.82,7010.08,6816.88,6666.50,6628.35,6530.16,6402.65,6327.93,6184.04,6053.47,5955.88,5789.74,5468.25,2969.49
Reaper,7553.20,7340.21,7055.60,6810.22,6564.56,6512.69,6492.04,6395.06,6246.82,6100.66,5836.03,5739.98,5637.30,5299.54,2827.82
Ninja,7022.62,6978.08,6909.67,6748.34,6595.03,6490.80,6436.72,6319.41,6183.96,6043.54,5953.35,5926.09,5729.70,5542.33,4548.12
DarkKnight,5030.87,4920.19,4786.09,4657.43,4538.77,4451.06,4374.89,4274.92,4203.42,4121.07,4018.32,3955.81,3879.02,3601.36,2300.52
Paladin,4943.84,4783.89,4669.50,4555.58,4461.54,4420.08,4362.81,4253.30,4191.49,4113.09,4016.88,3957.45,3871.40,3631.13,1928.57
Gunbreaker,5064.27,4975.59,4715.64,4595.09,4399.48,4339.43,4287.30,4185.57,4089.25,3978.01,3842.27,3746.93,3652.93,3312.12,2672.88
Warrior,4923.40,4719.73,4552.42,4473.50,4371.99,4324.41,4304.30,4238.38,4181.99,4085.79,4003.66,3945.08,3889.62,3630.41,2629.06
Astrologian,4749.21,4631.28,4464.66,4300.03,4129.77,4055.76,4013.54,3914.35,3735.43,3585.03,3467.63,3426.00,3386.49,3074.87,2477.78
WhiteMage,5014.17,4825.64,4527.28,4290.51,4093.06,4006.58,3882.01,3772.13,3622.64,3471.97,3334.42,3252.52,3125.82,2859.13,2025.76
Sage,4205.46,4135.20,3934.29,3822.50,3579.78,3473.46,3401.60,3152.44,2912.37,2773.31,2625.83,2516.83,2408.70,2138.93,999.78
Scholar,4520.34,4047.27,3830.57,3709.36,3461.24,3382.63,3308.04,3158.42,3031.36,2893.35,2711.45,2646.26,2569.97,2303.08,628.15
