Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Samurai,45745.22,45539.21,45046.71,44937.33,44740.07,44287.46,44215.76,43916.54,43523.68,43365.26,42575.65,42388.80,42351.35,42100.88,40646.76
Viper,46977.57,46366.02,44195.83,44122.57,43816.07,43637.30,43460.92,43137.34,42495.77,42309.37,41649.85,41416.56,41110.45,40338.34,39750.00
BlackMage,45271.89,45201.40,44924.87,44550.44,43848.29,43542.43,43169.83,42805.09,42658.26,42487.27,42286.83,42041.30,41658.34,41189.26,40135.49
Reaper,44825.59,44734.31,44482.88,43935.27,43588.37,43503.07,43224.32,43064.15,42824.48,42392.61,41221.66,40894.34,40639.38,40081.57,37330.25
RedMage,45788.26,44684.54,44231.80,43853.65,43382.63,42988.24,42632.92,42326.99,41782.12,41311.95,40993.25,40775.85,40571.02,39393.19,35014.76
Summoner,44827.64,44631.83,43831.61,43011.40,42782.94,42695.30,42564.77,42204.68,41656.64,41504.57,41297.71,41216.86,41016.73,40545.98,37247.53
Ninja,43930.92,43883.35,43768.41,43616.69,42915.05,42682.25,42185.63,42018.21,41189.48,40794.48,40406.87,40271.36,40091.97,39719.61,36597.75
Pictomancer,44038.19,43841.25,43053.51,42549.50,42381.50,42335.59,42321.98,42015.63,41578.86,41281.43,41184.22,41051.11,40910.34,40473.80,39881.34
Monk,44255.67,44135.50,43695.39,42861.83,42432.77,42293.94,42120.77,41924.45,41864.91,41421.31,41117.27,40942.95,40020.60,39517.92,36069.22
Dragoon,43854.67,43401.99,42274.40,42221.38,41838.49,41556.46,41309.06,41121.57,40840.46,40548.77,40326.51,39952.63,39799.26,39412.72,36989.45
Bard,42114.67,42093.04,41033.29,40520.90,40220.75,40042.79,39888.34,39458.33,39266.68,39007.59,38674.11,38551.50,38420.96,36507.44,33996.20
Dancer,42524.12,42141.34,41581.65,40960.99,39929.34,39810.91,39677.86,39317.92,38985.76,38704.82,38267.01,37858.74,37541.87,37004.13,34161.00
Machinist,40848.36,40844.74,40830.25,40361.35,39749.25,39469.77,39268.20,38928.10,38630.48,38127.70,37924.21,37828.05,37801.19,37528.87,30712.57
Warrior,29964.34,29816.17,29461.72,28911.00,28499.84,28191.07,27715.74,27552.03,27418.50,27090.12,26604.79,26531.54,26462.41,26020.17,24987.78
Paladin,28682.71,28385.06,28028.86,27738.56,27292.33,27085.63,26918.54,26781.25,26460.99,26092.95,25804.18,25617.40,25408.38,24806.41,22155.32
Gunbreaker,27178.03,27128.17,26928.72,26846.93,26789.53,26761.39,26732.84,26602.00,26470.00,26375.39,26123.43,25664.39,25494.46,25179.83,24447.07
DarkKnight,28564.75,28331.75,27427.29,27229.10,26797.87,26699.08,26566.45,26294.45,25982.37,25793.34,25418.91,25278.79,25150.54,24408.27,21278.27
WhiteMage,26494.94,26329.77,25581.21,25311.07,24660.91,24624.10,24396.22,23751.80,23587.99,23388.00,22910.18,22776.59,22553.23,22013.13,20488.34
Astrologian,25481.52,25183.15,24523.62,24314.04,23978.97,23692.88,23607.32,23311.60,23122.94,22939.44,22604.17,22401.63,22325.34,21790.37,20085.79
Sage,26135.75,25440.66,23790.06,23632.58,22826.73,22822.56,22429.91,21733.36,21571.82,21266.48,21065.70,21039.03,20890.56,20564.16,18360.14
Scholar,25133.45,23925.36,23225.32,22485.61,22128.37,21949.40,21872.00,21438.27,21211.69,20905.06,20526.23,20419.71,20266.62,19701.51,16970.93
