Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Dragoon,47507.37,45167.94,44615.42,44011.90,43432.23,43326.06,43137.34,42692.90,42272.23,41878.76,41429.03,41048.18,40418.77,39415.09,29592.22
Ninja,45180.37,45123.85,44376.98,43903.67,43027.53,42686.77,42347.55,41729.39,41241.09,40707.93,40366.97,40087.84,39841.81,39074.37,34688.03
Monk,44608.90,44463.00,44026.64,43334.30,42696.77,42299.06,42122.62,41853.18,41330.00,40943.80,40512.71,40252.93,39891.10,39237.52,37505.08
Summoner,44227.55,43677.69,43075.54,42751.50,42154.27,41937.02,41808.80,41480.65,41087.00,40847.97,40596.80,40434.30,40272.32,39675.02,33335.66
BlackMage,44239.40,43871.84,42856.73,42402.81,41851.11,41654.06,41553.32,41165.82,40591.09,40237.03,39825.49,39596.98,39202.75,38363.99,33400.26
Reaper,43747.26,43083.17,42723.47,42410.73,41829.51,41543.50,41217.76,40790.49,40500.37,40143.38,39615.09,39396.91,39078.07,38159.85,35633.02
Pictomancer,44216.41,43113.87,42442.63,41993.19,41576.28,41333.48,41090.94,40649.67,40467.14,39897.30,39496.39,39237.00,38710.71,37994.36,35352.06
Samurai,44314.24,43950.50,43211.05,41972.31,41308.99,41017.55,40723.51,40496.98,40132.27,39745.33,39272.17,39053.56,38885.64,38196.25,33295.78
RedMage,43523.04,42549.30,41918.26,41467.45,40869.99,40637.08,40383.85,39902.87,39472.74,38919.82,38482.92,38196.77,37897.30,37148.93,28553.24
Viper,42948.62,42440.70,41171.94,40625.13,39927.21,39681.75,39402.88,39029.77,38772.15,38440.65,38139.98,37977.40,37631.34,37176.04,28059.39
Dancer,42570.67,41519.80,40494.34,39930.20,39255.37,39019.11,38716.66,38398.30,38119.22,37764.64,37495.71,37325.06,36965.71,36377.88,34787.37
Bard,41098.04,40742.25,39973.78,39654.88,39023.59,38815.39,38552.14,38254.89,37946.43,37628.31,37349.61,37163.43,36975.27,36287.88,28069.21
Machinist,39546.73,39494.09,39342.48,38781.17,38346.60,37902.39,37748.88,37415.90,37091.69,36615.47,36226.71,35979.98,35775.84,35431.89,32993.94
Gunbreaker,29499.21,29133.53,28710.93,28386.94,27585.16,27408.49,27258.86,26859.86,26509.89,26307.97,25720.81,25618.80,25491.87,24916.40,18225.08
Paladin,29623.98,29082.37,28477.76,28133.86,27578.04,27306.01,27036.17,26545.39,26054.66,25648.11,25216.02,24954.46,24791.22,24263.11,21818.19
DarkKnight,28678.75,28285.41,27810.26,27428.21,27051.84,26911.53,26786.44,26482.63,26255.96,26007.09,25682.62,25540.66,25381.11,25001.85,23209.20
Warrior,29080.31,28919.88,28261.03,27565.82,26987.48,26829.96,26713.91,26490.61,26330.51,26123.89,25818.75,25733.27,25668.81,25266.82,22246.38
WhiteMage,25283.91,25039.57,24488.03,24150.48,23648.18,23535.48,23304.92,22914.56,22604.60,22070.34,21736.16,21519.42,21414.51,20513.48,18221.52
Astrologian,25643.43,25329.80,24716.29,24295.99,23768.99,23527.60,23378.45,23077.90,22775.70,22487.41,22133.54,21921.29,21642.55,21180.72,17667.04
Sage,26900.54,24357.01,23941.06,23472.79,22910.73,22796.29,22551.66,22048.80,21666.58,21254.27,20869.55,20733.74,20485.38,19843.97,17711.37
Scholar,26145.33,24874.62,23697.05,23281.31,22662.15,22414.50,22177.05,21780.14,21432.35,21120.22,20784.84,20650.82,20379.59,19827.83,15974.74
