Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Reaper,48389.35,48069.70,47542.22,47313.44,46317.74,45920.91,45516.70,45078.88,44788.85,44348.65,43865.91,43725.27,43173.35,42222.76,35902.30
BlackMage,45780.96,45744.89,45208.18,44812.50,44214.94,43990.99,43695.76,43314.86,43054.71,42459.01,42036.76,41849.71,41403.43,40684.56,29432.08
Viper,46343.05,46209.52,45286.71,44837.17,44140.03,43879.74,43428.84,43047.68,42770.48,42457.41,41740.77,41548.61,40934.83,40064.18,32012.18
Samurai,45178.33,44705.66,44307.37,43978.16,43546.61,43361.55,43217.91,42909.07,42686.23,42247.65,41925.38,41679.49,41426.33,40624.11,32505.86
Dragoon,43669.56,43611.95,43133.35,42786.20,42628.13,42375.53,42205.57,42063.54,41813.13,41571.60,41087.13,40935.79,40797.86,40084.01,32570.84
Ninja,43878.22,43669.81,43044.79,42854.97,42406.66,42265.01,41879.80,40990.38,40685.06,39855.89,39276.34,39083.02,38976.07,38386.19,32231.63
Monk,44627.44,44437.53,44017.63,43852.28,42951.42,42217.34,41951.59,41525.11,41335.68,41263.05,40889.29,40631.40,40409.83,38725.04,32856.01
Summoner,45071.19,43949.35,43060.43,42587.28,42136.01,42108.44,41942.88,41754.91,41273.92,40921.26,40761.74,40582.52,40273.94,39279.84,33139.84
RedMage,43432.01,43426.08,43299.10,42474.14,42175.02,42041.21,41682.38,41133.14,40932.18,40576.10,40367.64,40246.51,40076.67,39042.02,38491.08
Pictomancer,43341.74,43274.07,43003.38,42712.92,42535.24,41712.14,41592.69,41482.71,40579.90,40547.52,39561.97,39451.78,39451.78,39306.29,37871.06
Machinist,41778.57,41656.95,41253.91,40591.97,40402.64,40324.35,40182.76,39764.51,39685.99,39321.42,39013.60,38910.58,38865.73,38044.07,33080.94
Bard,41740.46,41394.91,40717.78,40475.94,40070.05,39834.38,39702.84,39440.09,39272.41,38771.78,38338.47,38035.56,37822.47,37255.28,32303.29
Dancer,42931.49,42749.82,41104.43,40458.85,39841.19,39678.89,39273.20,38945.56,38607.40,38274.09,38103.92,37890.70,37696.02,37223.02,33872.13
Warrior,29021.38,28964.01,28756.27,28606.78,28408.61,28369.35,28355.47,28115.87,27787.08,27523.37,27295.27,27234.55,27153.84,26718.88,22539.55
DarkKnight,29282.56,29065.49,28768.77,28365.54,27924.41,27787.29,27622.32,27395.34,27190.92,27028.69,26824.98,26669.24,26508.90,25900.99,20254.60
Gunbreaker,28885.20,28753.51,28214.81,28110.98,27503.29,27394.13,27088.31,26973.65,26394.86,26177.52,25604.88,25243.77,25026.53,24642.68,20678.71
Paladin,28328.89,28102.30,27843.26,27714.22,27456.43,27333.00,27274.22,27024.09,26801.81,26473.67,26259.01,26003.56,25803.72,25049.48,15147.34
WhiteMage,24177.27,22511.35,21462.67,21068.52,20266.37,19881.95,19577.87,19165.44,18691.87,18283.95,17674.27,17433.55,17120.46,16356.81,11419.41
Sage,20611.56,20546.76,20287.56,19963.55,19473.30,19287.33,19153.04,19142.86,18903.59,18342.87,17207.58,16756.36,16351.72,15488.99,14555.01
Astrologian,21743.32,21490.57,21215.86,19915.53,19036.53,18801.61,18661.57,18497.20,18242.16,17915.52,17488.47,17227.55,16844.23,14976.27,14202.70
Scholar,21168.42,20044.60,19616.80,18908.53,17978.84,17811.77,17636.73,17273.44,16973.35,16600.61,16186.76,15863.52,15590.87,14642.11,10291.42
