Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Reaper,46316.01,44898.35,43970.65,43515.25,43003.72,42816.05,42639.78,42389.66,42016.38,41652.93,41243.19,41079.37,40847.61,40030.27,35203.13
BlackMage,45636.37,44690.10,43637.02,43120.64,42389.63,42206.95,41929.66,41548.57,41186.28,40853.81,40390.21,40147.93,39861.29,38836.34,33548.00
Viper,45373.86,43839.06,42971.59,42485.31,42030.45,41774.00,41574.70,41255.65,40878.77,40497.69,40199.59,39983.85,39677.70,38906.72,33824.60
Samurai,45128.60,42889.95,42424.43,42046.42,41311.94,41137.74,40950.10,40632.88,40287.12,40048.64,39708.37,39513.41,39249.08,38462.07,32145.09
Dragoon,44251.13,42989.91,41948.73,41566.11,41054.55,40903.77,40723.91,40460.36,40190.31,39892.19,39631.92,39450.15,39257.01,38717.08,34417.87
RedMage,43449.46,42614.93,41729.05,41386.85,40890.68,40721.22,40478.98,40022.89,39681.36,39349.99,39054.82,38906.06,38710.33,37997.49,28519.01
Monk,43997.00,42525.22,42167.00,41509.61,40758.51,40691.31,40519.65,40238.97,39878.48,39510.15,39170.61,38918.82,38550.99,37903.54,35167.24
Pictomancer,42131.68,42122.64,41871.63,41535.65,40911.24,40641.40,40479.50,40204.06,39806.82,39144.71,38758.82,38664.46,38030.98,37719.24,35519.47
Summoner,42504.48,41470.17,41012.57,40735.72,40394.45,40219.04,40010.28,39746.54,39383.08,39077.57,38641.31,38466.69,38216.21,37640.20,34701.53
Ninja,41133.20,40898.18,40566.00,40342.06,40012.85,39851.28,39745.81,39402.81,39141.62,38661.54,38393.00,38085.60,37899.49,37171.73,33099.80
Machinist,42150.15,41822.29,41202.38,40728.72,40142.35,39851.19,39660.39,39222.09,38910.99,38636.54,38200.81,38094.11,37949.13,37110.10,30638.81
Bard,39898.68,39231.45,38688.65,38343.25,37975.72,37762.53,37579.69,37347.50,37131.98,36880.65,36497.35,36308.31,36119.71,35629.65,30783.31
Dancer,39401.42,38958.02,38320.79,37969.07,37258.79,36912.35,36774.26,36516.46,36262.76,35866.63,35482.28,35290.08,35110.56,34224.18,23048.62
Gunbreaker,30116.37,28998.75,28480.33,28134.93,27629.17,27449.64,27196.84,26921.64,26605.78,26072.83,25292.11,24652.36,24181.35,23759.46,22161.35
Paladin,29419.37,28184.56,27700.39,27377.63,27041.22,26890.43,26763.33,26568.52,26309.28,26034.47,25747.65,25603.61,25443.67,24925.63,21325.27
Warrior,28754.14,27925.80,27666.71,27520.35,27009.06,26838.40,26639.88,26396.29,26163.13,25991.10,25747.66,25526.42,25230.80,24671.33,19414.32
DarkKnight,28526.41,27531.29,27072.93,26819.83,26364.09,26226.34,26107.41,25838.35,25612.41,25418.17,25158.20,25004.41,24836.70,24415.16,17630.73
Sage,23946.53,23757.41,23443.49,23297.54,22335.45,21797.24,21448.68,21021.96,20239.62,19654.36,19439.31,19251.55,19102.68,18374.70,11835.11
WhiteMage,25986.66,24472.11,23179.59,22447.03,21597.11,21285.90,21020.81,20521.77,20030.94,19627.99,19162.59,18977.91,18702.16,18015.32,14155.17
Astrologian,23254.31,22621.83,21966.88,21344.15,20729.03,20486.34,20306.10,19843.58,19500.97,19201.43,18835.48,18653.66,18361.27,17552.42,14790.42
Scholar,23224.19,21573.72,20292.12,19780.65,19208.65,18978.96,18836.79,18467.96,18099.07,17776.42,17404.29,17229.42,17002.58,16312.64,11566.11
