Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Pictomancer,32619.81,31687.12,31104.46,30778.38,30357.47,30220.93,30052.17,29769.68,29506.41,29223.08,28893.97,28671.76,28453.74,27614.01,22678.16
Reaper,32063.27,31337.57,30637.36,30248.96,29872.23,29708.08,29572.32,29315.49,29080.8,28861.12,28658.79,28530.78,28294.51,27709.72,22074.38
Dragoon,31439.33,30645.71,30296.43,30000.29,29729.68,29610.32,29489.02,29282.99,29118.82,28900.26,28680.14,28548.07,28368.05,27769.95,21893.8
Monk,31358.84,30628.85,30107.26,29829.49,29545.54,29410.06,29303.0,29090.16,28874.03,28693.69,28465.48,28340.48,28174.49,27647.5,19307.87
Ninja,31123.21,30506.42,30019.23,29781.47,29492.6,29387.36,29286.65,29101.23,28887.87,28688.05,28405.31,28262.0,28088.11,27286.0,21388.17
BlackMage,31757.39,30809.0,30136.18,29744.66,29321.61,29101.19,28954.81,28653.14,28418.1,28028.41,27618.5,27414.33,27149.97,26350.45,22654.43
Viper,31341.22,30028.06,29673.52,29401.17,29091.35,28983.45,28855.85,28649.02,28431.15,28208.01,27903.57,27772.88,27615.29,27052.23,21692.38
Samurai,30565.65,29651.41,29183.22,28911.63,28696.35,28609.01,28496.89,28287.99,28117.59,27899.74,27618.53,27520.71,27346.75,26786.49,20431.11
Bard,30541.21,29596.78,29167.56,28956.44,28669.6,28565.65,28475.53,28283.56,28083.36,27896.0,27682.49,27568.25,27411.6,26881.11,20058.04
RedMage,30275.88,29688.49,29158.31,28939.07,28623.26,28530.86,28410.49,28192.43,27901.12,27675.78,27369.62,27245.19,27075.38,26381.03,19431.46
Summoner,28804.86,28753.34,28269.43,28162.33,27907.47,27793.75,27653.86,27386.17,27199.15,27010.86,26848.93,26774.66,26631.49,26292.07,22513.27
Dancer,29500.38,28968.65,28461.6,28219.22,27836.99,27717.62,27596.54,27358.04,27165.72,26952.85,26701.92,26566.43,26388.47,25811.75,20166.12
Machinist,28046.05,27850.04,27443.15,27287.39,27086.9,27014.21,26879.67,26712.62,26538.41,26352.39,26109.92,26048.18,25875.82,25429.37,22102.05
Gunbreaker,19796.9,19535.28,19323.18,19165.52,18979.31,18896.33,18812.23,18690.52,18568.72,18455.16,18327.05,18239.24,18117.78,17810.51,14728.23
DarkKnight,19833.71,19443.44,19141.38,18977.14,18797.0,18726.73,18656.82,18530.48,18412.89,18276.63,18129.66,18037.56,17916.72,17574.46,12186.37
Paladin,19749.01,19152.5,18860.84,18702.34,18507.67,18438.66,18370.65,18243.59,18107.79,17981.26,17827.37,17736.12,17640.01,17270.82,9619.06
Warrior,19053.54,18928.14,18642.81,18522.59,18376.86,18335.37,18275.04,18168.16,18068.67,17943.9,17796.22,17712.13,17637.99,17186.02,12803.52
Astrologian,18401.22,17843.17,17395.91,17145.3,16841.64,16711.33,16581.04,16341.27,16141.0,15900.54,15611.46,15450.52,15243.44,14568.3,0.0
WhiteMage,17164.97,16652.95,16221.0,15953.55,15668.2,15523.25,15401.81,15149.47,14900.04,14637.3,14359.68,14168.65,13988.02,13183.64,7731.87
Scholar,17571.74,16360.4,15674.89,15378.82,14991.29,14860.27,14726.18,14473.2,14208.34,13907.3,13612.31,13457.36,13269.51,12636.21,0.0
Sage,16379.85,16082.54,15232.46,14973.72,14632.22,14536.79,14413.45,14163.6,13918.93,13662.31,13305.84,13110.97,12860.7,12227.03,8001.51
