Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
BlackMage,29802.72,29236.09,28457.05,27983.81,27506.51,27293.00,26965.51,26605.43,26266.92,25962.88,25690.34,25491.11,25245.72,24683.42,16231.46
Reaper,29682.24,28387.35,27646.15,27220.05,26764.36,26622.11,26414.43,26125.48,25801.34,25408.78,25001.35,24777.45,24562.81,23983.46,15359.90
Samurai,29380.39,28431.40,27814.61,27264.43,26761.81,26522.06,26376.69,26065.48,25773.66,25392.10,24978.00,24737.33,24422.55,23712.42,17706.89
Pictomancer,29228.02,28293.45,27675.09,27288.30,26884.44,26722.36,26549.45,26239.89,25959.22,25640.94,25312.62,25126.13,24904.37,24274.55,17632.73
Monk,28967.23,27865.23,27237.45,26896.13,26482.13,26335.91,26175.38,25849.26,25533.61,25261.17,24953.48,24770.93,24550.01,23887.16,16433.55
Viper,28850.30,28458.80,27761.93,27464.91,26991.42,26833.26,26675.81,26360.56,26016.26,25589.82,25098.96,24760.35,24465.13,23751.04,16828.36
Dragoon,28830.22,28208.16,27721.46,27438.91,27092.87,26978.38,26844.74,26614.01,26379.95,26145.29,25877.57,25728.69,25566.66,24978.00,15087.79
Ninja,27990.31,27281.28,26759.71,26486.68,26092.66,25929.35,25793.39,25525.70,25293.46,25057.79,24790.27,24639.17,24470.60,23931.38,15937.76
RedMage,27400.93,26551.90,25980.33,25531.19,25127.60,24944.39,24796.74,24594.50,24389.95,24127.00,23856.03,23691.89,23576.60,23116.47,17543.04
Summoner,27216.69,26252.19,25984.73,25863.38,25237.53,25078.90,24948.35,24667.63,24486.54,24295.09,24072.29,24005.22,23841.99,23409.27,18376.89
Machinist,26722.62,25775.09,25309.15,24973.03,24678.78,24531.90,24367.61,24054.27,23836.16,23630.57,23407.77,23276.60,23076.11,22729.00,17313.14
Dancer,25892.82,24562.07,24007.49,23695.59,23288.58,23193.95,23085.97,22855.88,22635.52,22423.21,22192.07,22043.96,21876.34,21495.42,13007.87
Bard,25498.31,24612.93,24257.98,24051.33,23783.78,23679.23,23585.56,23394.93,23231.81,23060.64,22871.74,22771.49,22655.07,22287.27,13176.50
Gunbreaker,19756.14,19214.33,18863.48,18655.05,18410.85,18312.30,18225.68,18034.43,17853.54,17674.40,17494.86,17394.54,17263.74,16893.10,12420.22
Paladin,19697.40,19039.26,18588.29,18409.62,18133.70,18037.63,17953.55,17812.00,17666.34,17516.44,17353.18,17263.31,17157.13,16777.96,10705.67
Warrior,19145.29,18824.56,18414.21,18245.15,18037.09,17950.79,17889.21,17737.45,17550.44,17430.80,17292.68,17201.07,17087.17,16597.44,11410.80
DarkKnight,18310.21,17762.39,17404.56,17226.47,16995.21,16900.46,16827.60,16690.90,16544.85,16405.04,16244.03,16133.38,16013.63,15658.39,10792.50
WhiteMage,16388.49,15574.69,14996.88,14723.06,14290.67,14134.06,13958.52,13671.58,13415.80,13123.54,12782.50,12603.86,12406.82,11776.61,4074.15
Sage,15772.40,15615.92,15120.14,14635.45,13972.62,13736.79,13567.83,13249.49,12948.55,12679.57,12339.28,12121.68,11906.50,11279.27,7331.21
Astrologian,15445.37,14578.47,14149.95,13898.33,13562.84,13451.36,13334.45,13111.93,12918.76,12712.77,12463.95,12329.24,12169.34,11701.01,5494.53
Scholar,14962.29,14010.04,13423.50,13089.97,12631.55,12470.63,12300.06,12046.03,11809.58,11563.12,11321.53,11161.68,11000.64,10545.69,5364.85
