Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Pictomancer,13843.1,13212.73,12831.77,12589.65,12320.93,12207.63,12113.92,11919.1,11712.78,11512.43,11321.17,11199.93,11068.46,10599.82,9650.01
Monk,13335.29,13111.91,12828.57,12642.82,12256.46,12154.41,12034.28,11882.21,11664.58,11468.76,11189.8,11055.28,10974.91,10700.45,8287.41
Dragoon,12584.93,12422.39,12296.06,12154.45,11922.86,11860.98,11747.91,11589.31,11406.22,11297.77,11182.08,11097.7,11006.33,10781.17,9710.26
Ninja,13017.72,12430.49,12208.27,12050.26,11825.44,11779.28,11660.58,11503.2,11279.96,11202.0,11083.73,10949.22,10885.88,10710.77,9412.67
Bard,12510.46,12418.77,12233.24,11937.16,11795.6,11642.01,11578.18,11450.29,11331.92,11139.28,10802.59,10664.26,10309.25,9873.9,9223.29
Viper,12421.76,12371.92,12180.07,11988.56,11722.99,11626.02,11579.27,11452.25,11314.16,11163.73,11065.01,11003.31,10866.47,10553.21,10064.03
Samurai,12361.47,12102.09,11930.65,11786.95,11587.34,11437.06,11239.81,11097.06,10958.84,10845.03,10730.7,10679.94,10653.0,10437.1,9078.24
BlackMage,12145.29,12050.88,11863.14,11714.3,11576.08,11419.2,11406.13,11146.23,11087.95,10949.45,10767.13,10708.08,10623.03,10410.57,9973.86
Reaper,12504.1,12178.32,11693.11,11570.69,11441.16,11360.74,11302.92,11152.91,11063.28,10954.48,10754.92,10647.4,10561.26,10312.4,9660.17
Dancer,12678.7,12440.99,12221.2,11996.46,11507.66,11319.18,11185.86,11018.08,10800.83,10594.13,10388.63,10218.7,10063.33,9542.27,8445.64
RedMage,11952.99,11856.11,11640.47,11404.39,11149.82,11086.3,10990.07,10853.32,10750.85,10581.9,10482.74,10441.61,10340.7,10167.9,8348.03
Summoner,12027.13,11902.06,11646.89,11313.82,11087.53,10998.23,10976.45,10822.98,10669.91,10540.38,10401.46,10323.97,10240.93,10015.01,9308.82
Machinist,11705.41,11473.33,11229.27,11138.88,10928.9,10877.92,10787.43,10627.65,10505.06,10388.65,10267.86,10140.23,10021.66,9710.14,9220.04
Paladin,8062.92,7986.93,7839.55,7665.95,7514.43,7475.32,7438.77,7321.32,7235.63,7131.01,6987.12,6925.84,6827.49,6527.42,5672.91
Warrior,7898.47,7810.19,7666.82,7605.81,7489.66,7444.8,7399.41,7321.52,7229.6,7135.65,7057.15,7013.71,6952.09,6767.23,5787.4
Gunbreaker,7867.1,7847.54,7714.96,7610.47,7489.8,7441.61,7412.43,7316.16,7233.87,7172.55,7104.03,7060.84,7000.42,6899.77,6360.41
DarkKnight,8187.03,7810.12,7662.8,7551.77,7387.12,7341.03,7299.46,7199.09,7080.92,6972.24,6849.85,6730.14,6579.63,6350.6,5456.64
Astrologian,7186.67,7097.55,6873.43,6691.9,6551.44,6507.59,6459.88,6359.84,6285.08,6168.87,5954.11,5894.34,5780.35,5472.94,4578.59
Scholar,7365.35,7147.01,6928.78,6802.93,6535.11,6317.18,6254.77,6077.53,5877.79,5651.26,5489.07,5426.73,5324.15,4942.91,3335.85
WhiteMage,7462.73,6940.57,6460.48,6296.93,6121.76,6046.37,5967.11,5792.65,5666.91,5528.17,5381.42,5315.07,5221.79,5028.9,3407.42
Sage,6898.24,6722.25,6478.68,6338.19,6095.01,6006.58,5931.71,5745.44,5605.88,5436.93,5350.52,5301.39,5205.2,4872.61,3848.54
