Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Pictomancer,8560.20,7786.85,7642.67,7495.21,7358.42,7260.64,7195.68,7089.20,6986.36,6910.80,6722.69,6611.54,6562.44,6219.04,5253.96
Monk,7624.68,7544.04,7367.50,7286.95,7148.31,7099.97,7054.46,6967.20,6898.48,6772.52,6689.50,6582.78,6480.87,6186.24,5575.58
Ninja,14931.98,7463.03,7241.00,7047.08,6963.99,6927.14,6892.70,6803.08,6771.56,6716.79,6672.88,6588.25,6536.81,6133.20,4483.38
Dancer,7460.39,7256.23,7100.73,6960.89,6851.83,6771.14,6708.58,6631.46,6531.42,6414.69,6258.81,6194.03,6086.89,5778.23,5167.32
Dragoon,7153.20,7101.24,6978.75,6907.73,6819.97,6754.78,6706.10,6632.83,6566.23,6487.52,6407.78,6359.06,6302.47,6145.41,5343.98
BlackMage,7159.25,7109.89,6951.80,6796.23,6681.46,6638.47,6599.62,6515.72,6434.67,6358.66,6213.79,6174.17,6034.03,5840.34,3988.72
Summoner,6631.69,6630.84,6500.46,6430.69,6358.32,6323.93,6264.66,6126.45,6057.94,5925.59,5877.51,5823.65,5781.99,5617.73,5178.60
Bard,14001.76,7364.29,6498.15,6431.04,6361.71,6314.23,6284.61,6191.78,6135.61,6080.58,5991.92,5950.68,5902.29,5804.82,4570.20
Reaper,6547.30,6478.55,6289.83,6220.52,6139.80,6079.82,6010.77,5939.91,5884.28,5785.07,5721.05,5663.17,5639.03,5505.26,5126.43
Samurai,12220.33,6521.95,6357.18,6239.06,6102.88,6059.58,6011.47,5870.74,5793.65,5688.46,5592.94,5546.56,5487.14,5348.50,4110.49
RedMage,6467.88,6370.81,6202.75,6093.96,5963.75,5930.55,5890.63,5825.07,5762.52,5671.85,5607.07,5579.35,5512.62,5403.72,4689.48
Machinist,6205.76,6150.30,6038.10,5934.01,5795.17,5770.29,5719.21,5651.02,5581.12,5525.83,5467.99,5370.45,5352.65,5224.00,4205.90
Viper,6235.99,6167.11,5841.54,5728.33,5583.18,5554.33,5501.76,5393.79,5285.77,5200.97,5166.57,5134.07,5117.89,4917.32,4586.80
DarkKnight,4636.53,4595.34,4502.00,4444.86,4378.95,4353.19,4334.15,4291.56,4240.68,4183.28,4129.85,4085.96,4045.77,3908.81,2878.38
Warrior,9893.81,4469.85,4375.45,4326.63,4242.27,4205.69,4179.36,4125.44,4079.35,4035.30,3984.87,3957.79,3915.35,3825.78,2997.03
Paladin,4579.55,4547.71,4370.63,4316.45,4208.78,4176.17,4156.95,4097.84,4044.77,4006.30,3945.40,3931.38,3894.88,3783.93,1464.28
Gunbreaker,11330.04,4373.43,4183.63,4125.70,4024.74,3996.37,3971.76,3904.40,3841.36,3779.00,3716.85,3680.91,3618.61,3507.54,2043.86
Astrologian,4179.35,4121.25,4067.22,4032.68,3979.07,3961.67,3934.59,3893.62,3841.20,3793.70,3751.22,3710.89,3672.26,3568.50,2187.09
Scholar,3981.60,3891.54,3848.36,3776.05,3698.80,3661.57,3620.43,3583.26,3536.33,3462.90,3372.58,3336.64,3289.13,3137.45,2402.22
WhiteMage,3888.15,3799.09,3658.26,3539.14,3443.66,3403.93,3361.24,3272.30,3178.11,3113.39,3006.76,2940.32,2907.15,2757.09,2120.77
Sage,3650.86,3514.70,3428.35,3373.14,3280.27,3245.23,3208.40,3168.12,3108.47,3045.15,2983.48,2950.65,2883.63,2754.91,2040.67
