Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Pictomancer,8424.83,7168.18,7056.45,6815.21,6565.68,6453.31,6379.08,6240.12,6077.85,5941.18,5773.17,5693.79,5551.22,5265.77,4317.33
Dancer,7357.51,7054.98,6862.83,6667.49,6454.21,6400.35,6337.11,6231.22,6130.58,6002.30,5907.19,5842.55,5782.86,5651.36,1971.01
Bard,14922.32,7559.87,6524.27,6501.15,6328.67,6281.76,6252.73,6144.25,6059.94,5967.35,5830.05,5801.22,5763.09,5656.19,3415.28
Monk,6877.45,6767.11,6540.16,6473.33,6294.19,6247.66,6204.05,6112.78,6025.43,5955.71,5862.93,5829.27,5775.83,5531.14,3935.63
Ninja,14894.06,6946.78,6430.94,6296.15,6057.91,5983.60,5950.60,5901.46,5830.68,5753.39,5639.57,5596.65,5508.38,5301.18,3795.21
Dragoon,6702.67,6412.07,6227.18,6086.04,5934.57,5882.82,5830.46,5763.43,5698.99,5634.36,5564.79,5531.31,5456.84,5367.98,4931.02
Reaper,6598.51,6520.87,6254.24,6017.15,5887.11,5822.69,5743.14,5646.42,5516.03,5391.97,5300.07,5225.34,5178.24,5029.54,3577.32
BlackMage,7229.49,6935.72,6276.38,6062.59,5870.89,5776.75,5719.77,5585.61,5469.73,5354.98,5240.96,5135.21,5054.82,4716.20,3465.45
RedMage,6490.68,6403.36,6020.39,5908.63,5710.62,5682.61,5587.24,5479.08,5391.34,5291.36,5231.16,5211.74,5146.05,4902.72,3932.89
Samurai,14279.86,6405.13,6077.36,5896.47,5718.82,5681.49,5617.19,5531.47,5463.86,5380.25,5292.54,5268.77,5203.90,5019.00,4298.18
Machinist,6535.79,6393.46,5850.30,5751.40,5588.39,5538.63,5511.81,5373.73,5263.85,5142.28,5009.42,4929.32,4897.13,4576.30,2789.23
Summoner,5915.55,5913.27,5770.99,5682.14,5571.23,5521.73,5506.43,5420.41,5286.30,5215.99,5151.10,5134.30,5103.69,4939.12,4290.09
Viper,6110.39,6082.26,5731.93,5500.84,5413.33,5381.56,5351.28,5225.56,5128.30,5082.37,4948.00,4896.57,4810.14,4616.98,4232.36
DarkKnight,4269.13,4106.48,3937.21,3846.54,3733.80,3705.88,3669.43,3606.72,3537.95,3498.27,3425.12,3390.26,3321.81,3177.03,1479.91
Gunbreaker,12890.28,3975.97,3732.46,3679.43,3594.14,3557.47,3531.83,3479.63,3435.73,3371.37,3288.36,3255.26,3219.00,3120.42,2342.35
Paladin,4465.45,3766.77,3682.10,3603.09,3522.98,3498.50,3472.93,3419.28,3371.45,3321.78,3293.97,3245.92,3202.77,3113.89,2825.89
Warrior,10359.39,3880.00,3625.38,3580.87,3489.04,3443.62,3409.97,3346.47,3295.32,3251.70,3194.65,3163.02,3116.59,3032.99,2304.24
Astrologian,3564.97,3552.93,3410.98,3347.89,3255.48,3197.18,3166.73,3094.59,3004.10,2918.00,2787.12,2743.54,2661.02,2474.18,854.00
Scholar,3666.47,3487.74,3206.30,3123.87,3020.23,2964.17,2897.38,2831.38,2747.19,2606.48,2514.38,2450.28,2401.16,2163.33,1492.93
WhiteMage,3432.95,3333.77,3236.19,3121.47,2979.14,2912.64,2830.99,2716.54,2629.15,2445.22,2258.86,2141.88,2043.11,1730.27,1041.15
Sage,3448.05,3017.23,2781.72,2682.48,2571.39,2489.98,2442.63,2348.68,2237.92,2168.00,2016.28,1970.12,1900.17,1735.96,746.00
