Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
BlackMage,13486.16,13345.03,13148.82,12731.93,12549.42,12420.40,12367.98,12153.86,12021.05,11930.90,11732.68,11544.78,11415.73,11050.46,10195.02
Monk,13123.99,12852.95,12641.16,12455.67,12161.60,12127.48,12089.83,11985.21,11924.60,11792.77,11692.97,11636.22,11559.28,11376.89,10791.97
Pictomancer,12474.60,12426.51,12250.03,12026.01,11912.46,11859.67,11794.32,11663.21,11550.96,11409.33,11235.15,11120.16,10968.06,10736.58,10183.69
Dragoon,12339.70,12285.90,12158.18,12085.63,11918.63,11831.21,11776.25,11682.49,11584.16,11513.07,11385.59,11359.25,11286.07,11082.53,10195.92
Samurai,12314.49,12307.53,12177.15,12052.02,11902.37,11829.08,11768.20,11675.02,11509.58,11425.48,11279.72,11206.86,11148.39,11009.56,9734.19
Reaper,12406.26,12329.42,12121.97,12012.03,11748.30,11737.14,11646.47,11538.45,11417.12,11325.81,11173.74,11108.98,10926.78,10803.25,10440.70
Ninja,12185.83,12130.66,11933.87,11835.87,11712.36,11661.07,11606.55,11537.40,11456.84,11356.08,11258.32,11209.23,11130.88,10968.86,10523.06
Viper,12054.41,12038.95,12001.01,11840.52,11650.02,11565.01,11481.80,11453.97,11396.96,11352.14,11280.88,11186.39,11140.32,11025.99,10542.81
Bard,11798.01,11771.68,11681.92,11483.57,11303.17,11254.50,11143.71,10900.84,10646.12,10436.40,10279.78,10224.35,10179.86,10121.96,9724.80
Machinist,11787.32,11714.13,11544.17,11459.00,11312.21,11247.90,11190.80,11124.43,11074.72,10999.97,10932.20,10835.04,10775.97,10575.95,9940.39
Dancer,11840.83,11718.22,11455.28,11328.43,11248.13,11160.45,11135.90,11016.85,10896.89,10758.94,10633.90,10551.08,10494.07,10317.26,9808.92
RedMage,11605.07,11544.95,11358.70,11281.97,11101.26,11091.55,11022.77,10881.64,10825.22,10666.42,10532.77,10515.69,10385.04,10056.63,9381.41
Summoner,11461.10,11411.81,11319.32,11243.12,11016.89,11000.08,10989.27,10807.63,10744.34,10661.60,10511.18,10468.42,10426.46,10212.08,9996.10
Paladin,8056.80,8026.94,7890.57,7748.08,7722.11,7693.55,7654.04,7593.39,7465.49,7231.26,7132.02,7100.94,7082.65,6884.20,6390.61
Gunbreaker,8025.00,8011.02,7812.19,7748.22,7673.52,7640.29,7607.90,7540.75,7492.76,7406.43,7330.92,7299.63,7245.30,7145.98,6343.98
Warrior,8099.85,7813.31,7742.25,7695.35,7647.14,7622.33,7599.23,7554.36,7518.51,7452.52,7384.23,7366.57,7306.32,7182.81,6642.01
DarkKnight,7897.86,7828.58,7725.67,7650.27,7545.67,7510.82,7480.55,7422.18,7363.30,7312.85,7265.10,7239.14,7187.49,7032.07,4756.55
Astrologian,6896.28,6814.06,6757.39,6633.61,6474.36,6417.54,6323.91,6233.65,6057.03,5930.01,5838.61,5804.09,5759.40,5555.86,4951.23
WhiteMage,7067.65,7032.73,6874.97,6780.66,6497.62,6334.67,6168.45,5895.99,5710.47,5522.25,5308.33,5210.54,5095.04,4802.11,3785.10
Sage,6967.88,6704.50,6518.27,6400.65,6274.83,6190.53,6132.68,5995.42,5883.81,5780.56,5632.30,5543.52,5454.42,5114.62,4206.26
Scholar,6931.44,6861.22,6620.75,6396.51,6253.72,6167.15,6065.00,5992.77,5898.89,5791.47,5694.17,5637.62,5568.96,5291.64,3942.37
