Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Pictomancer,48393.54,33470.43,32624.64,32136.85,31639.30,31457.47,31243.66,30934.43,30601.54,30240.09,29822.67,29582.89,29356.71,28660.60,24288.63
Monk,31689.67,30642.17,30208.22,30063.94,29666.66,29520.96,29302.28,29044.60,28742.10,28524.76,28257.91,28167.92,27941.45,27039.52,24454.39
Reaper,31260.70,30743.70,29915.53,29681.71,29378.94,29274.64,29219.15,29013.96,28705.58,28462.22,28122.47,27932.12,27770.87,27105.45,23592.80
Dragoon,44434.74,30844.40,30259.40,29892.89,29374.96,29173.70,28985.62,28605.66,28097.43,27790.67,27310.04,27097.96,26888.57,26260.69,22807.88
RedMage,30844.82,30059.45,29333.38,28872.21,28514.56,28377.67,28195.37,27932.48,27551.11,27288.39,27014.29,26860.51,26694.00,26065.78,21701.43
Samurai,30610.14,29547.08,29078.61,28837.81,28389.20,28189.79,28037.76,27623.92,27320.08,26907.09,26585.02,26402.57,26306.33,25508.22,19425.79
Ninja,43539.21,29555.66,28885.07,28493.26,28161.47,28058.32,27934.59,27712.42,27491.89,27185.88,26856.08,26727.35,26541.21,26180.92,22427.76
Bard,29616.92,29089.49,28739.84,28364.64,28018.88,27919.48,27785.47,27563.19,27331.05,27129.29,26895.27,26756.10,26563.90,26148.21,21105.69
BlackMage,32395.77,30195.56,28949.35,28612.74,28125.64,27909.55,27630.95,27370.58,26951.23,26541.47,26202.24,26054.29,25941.13,25294.11,22609.07
Dancer,29092.15,28873.63,28400.46,27936.16,27421.92,27337.41,27177.78,26899.42,26617.00,26364.25,26065.56,25961.93,25821.95,25171.12,20973.40
Summoner,28592.32,28377.14,27894.70,27304.31,27190.33,26988.38,26803.69,26582.86,26319.94,26166.92,26056.97,25633.77,25452.37,24324.83,20599.23
Viper,28139.05,28040.77,27212.88,27021.42,26552.91,26271.69,26076.88,25674.23,25398.81,25119.60,24888.01,24769.43,24560.63,24205.21,20088.12
Machinist,27632.05,27400.24,26648.89,26376.57,26128.53,26079.27,25972.62,25476.08,25315.06,25029.37,24977.99,24949.19,24763.48,24510.82,18720.16
Warrior,19615.73,19581.33,19299.95,19237.54,19063.39,19002.40,18865.90,18717.74,18485.44,18225.85,17916.44,17774.74,17509.89,17203.32,12987.69
Gunbreaker,20142.99,19587.94,19265.03,19015.14,18620.89,18517.72,18412.57,18211.94,18024.04,17844.87,17623.27,17511.83,17329.64,16925.58,14301.58
DarkKnight,27022.61,19805.85,19189.00,18919.43,18572.98,18455.66,18371.35,18162.78,17981.93,17785.67,17592.44,17487.02,17344.83,16988.54,11490.23
Paladin,26127.07,19724.05,19267.81,18987.61,18556.86,18405.94,18258.53,17935.62,17607.90,17295.25,16996.32,16879.86,16688.74,16161.66,12502.64
Astrologian,19079.90,18601.08,17960.98,17684.36,17265.56,17163.42,17052.91,16798.96,16587.55,16365.17,16162.43,16020.18,15869.52,15302.42,8748.45
WhiteMage,18637.57,18174.79,17036.66,16679.50,16142.10,15989.76,15845.07,15602.52,15291.91,15094.79,14838.77,14609.45,14415.59,14067.07,9604.96
Sage,15696.55,15679.26,15309.05,14694.72,14266.46,14209.52,14113.03,13897.06,13689.09,13498.19,13253.57,13053.59,12946.41,12622.77,10136.96
Scholar,15757.73,14700.51,14213.32,13892.30,13610.33,13470.77,13383.86,13194.74,13033.74,12871.07,12657.07,12543.06,12368.39,11995.86,7573.54
