Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Pictomancer,8934.98,7298.53,6908.70,6751.40,6508.99,6394.23,6292.99,6092.52,5876.20,5716.14,5484.51,5396.06,5205.11,4862.15,3768.30
Monk,28926.46,6788.11,6533.83,6398.98,6267.53,6232.29,6184.85,6082.70,5975.02,5907.78,5800.14,5741.88,5689.93,5392.88,3088.28
Dragoon,12697.33,6604.03,6500.72,6365.96,6227.68,6167.66,6112.70,5985.01,5880.79,5775.23,5627.63,5529.12,5419.69,5214.62,3716.38
BlackMage,9545.26,6632.19,6394.32,6292.41,6057.64,6017.76,5960.06,5857.66,5736.97,5570.63,5455.64,5341.55,5233.78,4906.27,2758.20
Ninja,6829.07,6508.73,6252.53,6145.81,6046.83,6010.93,5964.15,5853.39,5744.66,5666.41,5557.81,5477.91,5373.02,5141.12,3787.80
Dancer,11858.45,6440.41,6242.08,6130.69,5944.93,5901.51,5833.75,5754.36,5643.47,5537.01,5403.11,5321.79,5248.77,4952.95,0.00
Reaper,12720.38,6579.79,6163.49,6009.66,5845.25,5785.27,5720.85,5647.55,5605.07,5506.35,5358.07,5295.40,5221.51,4974.05,4048.80
Machinist,6377.88,6308.25,6076.89,5930.56,5793.41,5714.91,5665.32,5543.87,5421.96,5310.86,5237.87,5181.24,5078.10,4929.64,3039.37
Viper,6213.61,6153.07,5956.57,5870.99,5658.92,5622.82,5597.42,5531.50,5472.35,5336.30,5261.22,5226.37,5190.91,4979.69,3725.06
Samurai,6173.03,6094.16,5853.04,5752.92,5639.02,5606.42,5580.54,5485.99,5407.40,5343.50,5226.06,5172.28,5089.20,4901.16,3125.37
Bard,28515.51,6158.60,5926.33,5800.76,5628.16,5573.68,5538.04,5446.80,5345.90,5266.04,5158.83,5126.76,5033.31,4817.95,3637.17
Summoner,6132.24,6101.09,5781.88,5705.50,5575.12,5536.06,5484.45,5393.16,5309.42,5228.23,5123.08,5046.25,4928.68,4717.68,3378.53
RedMage,10244.88,5858.03,5707.39,5530.82,5386.75,5297.04,5211.85,5071.27,4909.33,4751.34,4637.15,4561.08,4446.97,4262.54,3167.32
Astrologian,4992.09,4924.33,4782.21,4722.71,4574.42,4504.19,4395.38,4158.22,3966.55,3763.98,3588.73,3430.53,3281.23,2966.87,1929.29
Paladin,15469.87,4600.73,4467.82,4355.26,4275.86,4220.72,4176.94,4110.03,4051.22,3980.86,3875.84,3806.71,3718.11,3528.08,2661.06
Gunbreaker,4807.71,4598.91,4458.24,4351.59,4267.75,4216.04,4157.36,4073.52,3994.15,3877.39,3744.93,3697.23,3588.04,3291.48,2310.95
Warrior,18910.57,4466.26,4355.91,4306.33,4224.76,4197.91,4169.30,4118.91,4063.61,3986.15,3916.76,3866.07,3791.07,3541.19,1834.41
DarkKnight,22404.71,4149.39,3970.60,3909.94,3847.94,3822.13,3796.93,3739.07,3684.45,3636.62,3562.27,3511.97,3472.64,3294.20,1881.96
WhiteMage,7428.43,4760.18,4430.91,4185.83,3886.58,3809.71,3749.36,3614.78,3517.35,3412.50,3253.80,3179.33,3083.72,2840.90,1565.93
Sage,8111.71,3597.80,3424.05,3354.25,3234.52,3193.00,3148.09,3074.22,3013.30,2930.03,2824.07,2768.30,2729.72,2551.13,1037.29
Scholar,4564.11,3565.61,3432.93,3350.79,3230.26,3166.32,3116.44,3016.99,2903.29,2801.82,2694.00,2656.64,2565.58,2419.34,1716.66
