Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Pictomancer,15899.78,15273.72,14452.83,14048.13,13656.16,13380.22,13198.32,12701.32,12187.87,11724.26,11343.89,11114.37,10904.59,10349.71,7686.06
BlackMage,16111.14,15113.52,14167.03,13782.97,13358.36,13240.15,13065.62,12797.87,12589.36,12316.75,12046.23,11946.40,11792.32,11315.40,6449.57
Reaper,16005.12,14629.83,14072.09,13670.36,13162.15,12947.49,12684.63,12342.99,12044.39,11544.13,10854.86,10639.03,10407.34,9592.65,5926.03
Samurai,15058.27,14484.94,13775.81,13448.71,13031.37,12879.08,12745.17,12586.28,12265.71,11901.62,11465.05,11245.28,10809.84,10281.94,5933.57
Viper,14775.81,13992.74,13438.56,13057.91,12527.66,12296.13,12030.47,11421.88,11126.07,10807.46,10371.66,10133.67,9826.86,9158.76,6563.41
Machinist,13456.27,13296.55,12926.81,12609.71,11953.28,11752.00,11545.04,11246.94,10838.02,10393.80,10167.45,9894.43,9717.00,9193.09,6659.03
Monk,14949.07,14788.02,13713.57,13240.98,11868.69,11558.94,11269.53,10824.76,10519.43,10207.12,9806.90,9664.10,9511.34,9025.62,6292.16
RedMage,14046.56,13471.41,12522.09,11685.25,11101.71,11040.21,10914.09,10727.20,10381.37,10249.61,10031.66,9796.07,9452.16,8953.72,8257.29
Ninja,14354.93,13684.07,12843.44,11969.17,11053.44,10792.75,10435.46,10118.74,9926.00,9675.78,9383.21,9236.66,9077.98,8695.65,6175.99
Summoner,12727.70,12213.55,11664.07,11370.95,10902.18,10715.27,10668.01,10393.71,10262.27,10079.67,9881.21,9799.67,9703.82,9487.51,9051.38
Dragoon,13788.50,12835.47,12422.90,11536.23,10897.35,10707.87,10591.84,10303.23,10004.85,9757.98,9480.60,9356.99,9181.16,8726.98,6253.53
Bard,14759.12,13382.80,11722.94,9689.26,9191.96,9060.85,8975.00,8788.84,8636.01,8507.30,8375.84,8320.46,8224.94,8017.88,4440.25
Dancer,16525.02,14347.72,13578.57,12200.14,9035.04,8824.90,8630.53,8395.06,8157.02,7960.08,7795.52,7704.71,7600.99,7342.41,4954.71
Paladin,8939.37,8871.31,8454.85,8278.01,8067.76,7997.80,7934.20,7791.14,7636.88,7513.47,7369.68,7323.35,7185.71,6826.88,3927.09
Warrior,9007.23,8797.42,8426.65,8260.72,8043.87,7985.68,7895.96,7777.69,7668.86,7566.89,7441.44,7364.38,7301.28,7051.87,3187.39
DarkKnight,9531.50,9224.19,8648.14,8407.31,8030.19,7777.05,7576.36,7190.54,6749.98,6525.36,6194.94,6017.94,5836.92,5499.52,3988.91
Gunbreaker,8641.76,8448.46,8216.85,8005.24,7823.69,7765.33,7709.25,7593.57,7470.63,7371.37,7230.99,7195.63,7126.34,6903.29,5119.83
WhiteMage,8400.43,7831.30,7313.13,7065.96,6767.50,6635.73,6509.95,6281.59,6048.30,5870.50,5697.79,5588.89,5438.45,5148.54,2057.03
Sage,7688.16,7426.69,7109.46,6884.50,6614.60,6448.23,6361.40,6164.13,5960.86,5797.43,5562.35,5442.12,5341.90,5007.34,2876.18
Scholar,8605.07,7524.20,6884.45,6442.11,5994.22,5878.94,5791.12,5601.61,5403.43,5202.63,4961.51,4872.63,4700.60,4290.44,2987.04
Astrologian,8232.66,8045.50,7281.26,5742.92,5423.42,5262.73,5191.38,5033.16,4873.03,4736.17,4584.61,4518.00,4424.21,4139.21,2565.85
