Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
BlackMage,10621.70,10561.36,10304.63,10127.47,9794.46,9715.56,9592.05,9383.14,9247.79,9054.37,8850.74,8737.91,8557.15,8268.96,6514.65
Pictomancer,11252.33,11104.32,10764.68,10391.67,9910.94,9712.86,9459.53,9081.63,8826.87,8658.90,8392.81,8311.21,8186.36,7921.57,5280.06
Samurai,10149.27,9596.33,8992.24,8878.32,8679.83,8607.75,8512.16,8342.52,8233.78,8104.81,7956.27,7903.70,7809.86,7622.99,6785.55
Viper,10224.41,9273.81,8955.66,8759.98,8604.79,8509.16,8451.99,8337.74,8230.21,8105.40,8004.60,7925.00,7853.89,7532.15,5386.60
Machinist,10546.29,10181.72,9112.06,8792.70,8503.95,8429.76,8343.14,8184.16,8063.29,7923.79,7721.80,7631.83,7552.85,7197.74,4770.01
RedMage,10435.10,9515.41,8909.10,8761.03,8360.61,8266.74,8145.53,7925.21,7823.11,7639.43,7386.24,7230.70,7147.67,6892.59,6483.45
Dragoon,9084.48,9040.37,8736.35,8590.51,8315.65,8250.73,8191.46,8057.20,7904.74,7774.81,7671.43,7608.34,7497.88,7363.35,5841.47
Reaper,9998.13,9378.67,9154.44,8852.13,8485.21,8222.92,8136.99,7938.51,7651.16,7590.22,7429.89,7350.85,7270.99,7115.53,5322.79
Monk,9306.08,8607.23,8241.20,8110.37,7934.62,7850.56,7767.39,7628.65,7525.76,7446.33,7316.56,7247.87,7178.15,6900.92,6331.72
Ninja,8899.98,8752.32,8350.18,7891.36,7633.21,7601.03,7542.73,7375.98,7317.77,7097.03,6981.54,6957.43,6855.47,6635.70,5076.75
Summoner,8647.11,8252.21,8038.14,7817.69,7672.88,7580.78,7466.84,7323.56,7218.45,7069.60,6910.43,6842.64,6754.63,6477.05,4341.60
Bard,7277.40,7223.02,7077.17,7006.96,6892.11,6860.35,6845.18,6756.10,6670.23,6591.38,6483.00,6410.16,6317.58,6028.63,4059.76
Dancer,7372.84,7187.57,6975.73,6808.92,6607.47,6548.59,6511.48,6407.75,6314.57,6216.54,6077.70,5987.03,5907.85,5713.81,3438.44
WhiteMage,7023.21,6875.09,6539.75,6359.31,6065.88,5990.67,5913.59,5746.41,5625.02,5496.43,5372.55,5267.36,5176.05,4850.55,2788.50
Warrior,6511.35,6089.65,5864.18,5772.06,5669.12,5611.52,5560.40,5486.09,5406.59,5346.25,5260.24,5212.04,5176.03,4969.20,2473.49
Paladin,6370.30,6103.11,5875.93,5723.32,5587.67,5545.30,5473.13,5389.57,5311.91,5253.03,5177.94,5133.27,5065.94,4889.36,2288.30
Gunbreaker,6006.47,5831.24,5542.76,5467.56,5366.50,5335.32,5283.47,5198.23,5122.32,5066.51,4978.06,4944.88,4838.51,4711.82,3276.62
Sage,6841.56,6207.24,5759.36,5572.41,5336.03,5289.49,5203.74,5119.44,4953.63,4815.47,4706.40,4636.29,4506.92,4149.67,2097.05
Astrologian,5431.92,5372.18,5153.59,5050.32,4901.30,4857.07,4812.12,4700.69,4562.35,4459.82,4343.41,4312.66,4238.82,4081.01,2088.29
DarkKnight,5710.22,5375.97,5084.05,4957.03,4733.22,4649.46,4606.94,4510.47,4408.22,4327.24,4244.76,4193.13,4137.77,4005.44,3065.17
Scholar,5486.11,5223.59,4865.54,4752.74,4603.35,4515.69,4451.45,4340.60,4221.63,4111.08,3978.56,3907.20,3835.81,3663.57,2021.69
