Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
BlackMage,8195.46,8042.06,7766.54,7627.32,7348.02,7280.66,7193.39,7048.62,6965.75,6837.50,6677.10,6614.21,6504.15,6201.46,4659.96
Bard,8100.16,8020.51,7652.93,7491.70,7298.46,7204.62,7095.07,6955.62,6855.88,6696.28,6497.45,6438.19,6321.14,6014.43,5221.32
Samurai,8090.78,7943.12,7721.01,7561.96,7247.29,7126.62,7011.12,6881.30,6687.74,6572.36,6396.75,6260.87,6140.35,5793.92,4184.53
Pictomancer,7868.19,7753.69,7565.93,7389.99,7202.13,7080.51,6997.80,6861.93,6714.38,6578.31,6379.82,6282.83,6167.65,5945.51,4916.74
Dragoon,8133.52,7894.87,7476.45,7324.86,7117.91,7030.56,6939.43,6807.86,6650.10,6490.67,6283.43,6176.55,6098.70,5801.77,4344.26
Dancer,7988.27,7776.85,7516.86,7356.01,7094.82,7017.11,6965.84,6845.12,6698.63,6579.39,6395.41,6315.68,6184.45,5898.12,3862.60
RedMage,7615.58,7549.12,7407.56,7202.56,7052.59,7006.73,6930.04,6759.29,6595.14,6457.40,6250.41,6172.03,6086.20,5772.53,4805.96
Monk,8101.13,7755.25,7474.75,7254.66,7044.01,6950.57,6878.92,6725.99,6549.81,6378.10,6222.35,6152.05,6064.07,5776.79,4326.97
Viper,7524.47,7445.16,7266.12,7115.43,6920.92,6854.79,6781.18,6653.17,6505.40,6367.28,6135.87,6002.58,5829.38,5340.57,4306.36
Machinist,7546.78,7271.97,6981.67,6874.54,6743.50,6695.91,6645.43,6544.41,6484.99,6366.27,6217.49,6119.55,6034.41,5723.67,4573.37
Reaper,7762.93,7379.36,7105.22,6933.84,6702.62,6579.84,6510.81,6365.58,6231.89,6082.09,5954.44,5838.72,5767.47,5436.37,4463.20
Ninja,7420.30,7270.07,7031.33,6863.80,6543.65,6481.97,6390.09,6258.91,6098.67,5999.84,5811.87,5740.34,5665.70,5294.68,3845.85
Summoner,6966.01,6796.82,6672.21,6598.37,6372.10,6304.88,6275.16,6186.88,6085.30,5993.25,5865.26,5740.45,5557.46,5285.59,4085.95
DarkKnight,5219.22,4944.79,4805.12,4690.95,4580.65,4522.84,4471.40,4392.79,4284.56,4161.71,4040.07,3945.04,3845.19,3613.59,2481.27
Warrior,4975.89,4889.31,4757.11,4673.27,4555.37,4506.49,4450.37,4381.42,4300.43,4203.55,4108.64,4044.85,3959.77,3774.49,2727.70
Paladin,5066.62,4899.61,4725.95,4664.83,4555.86,4506.13,4461.19,4380.26,4292.08,4207.75,4129.42,4081.95,4017.31,3815.93,2501.41
Gunbreaker,4976.13,4931.24,4744.44,4644.99,4517.53,4450.96,4411.93,4295.35,4204.17,4038.80,3859.21,3747.44,3609.74,3300.52,2260.85
Astrologian,4770.42,4711.42,4464.80,4352.37,4177.25,4069.64,3997.05,3885.44,3718.99,3568.48,3416.27,3328.97,3215.73,2970.85,2071.04
WhiteMage,4791.67,4506.20,4188.63,3957.64,3751.43,3611.72,3515.75,3377.57,3243.22,3077.16,2955.09,2842.49,2757.59,2455.11,1385.01
Sage,4464.67,4114.10,3984.05,3846.88,3601.02,3512.01,3438.83,3294.52,3168.69,3062.67,2905.80,2811.46,2695.58,2338.55,1486.66
Scholar,4398.56,4222.39,4000.66,3727.41,3366.36,3224.97,3142.57,3004.70,2862.00,2744.11,2601.86,2514.41,2446.51,2221.62,1385.15
