Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Dragoon,40272.16,38629.86,37322.73,36613.32,35915.83,35654.14,35356.75,34676.80,34152.61,33565.03,32868.05,32500.59,32114.25,31085.62,20390.28
Pictomancer,39920.35,38621.99,37551.76,36907.48,35784.05,35258.90,35006.93,34217.24,33615.09,33066.87,32453.11,32054.50,31610.59,30061.94,16208.61
Monk,39103.78,37589.43,36642.51,36116.81,35217.93,34912.12,34588.05,33970.45,33378.53,32869.40,32304.41,31981.27,31662.61,30311.85,22976.72
Reaper,38324.09,37479.77,36444.29,35904.17,35147.25,34759.50,34516.20,33997.40,33558.38,33062.49,32358.39,32008.51,31386.73,29815.92,20183.69
RedMage,39297.78,37178.75,36069.75,35268.76,34311.25,34013.15,33760.01,33144.05,32441.84,31808.96,31373.30,31030.67,30496.02,29207.82,15630.90
Samurai,38127.45,36828.72,36252.72,35473.45,34198.59,33803.86,33536.66,32780.63,32041.21,31358.66,30620.56,30243.76,29608.05,28165.29,18213.83
Summoner,36086.18,35845.89,34856.05,34476.64,33941.47,33767.15,33555.87,33190.81,32476.08,31922.04,30983.72,30627.60,30192.34,28977.79,8861.46
Ninja,37641.69,36518.60,35298.45,34725.23,33854.27,33352.68,33051.15,32620.16,32195.93,31646.25,31020.97,30788.55,30528.56,29285.93,24882.52
Machinist,38700.47,37050.88,35687.49,34315.23,33465.24,33182.45,32911.14,32244.18,31668.66,31060.53,30469.10,30247.47,29911.11,28121.86,21279.36
Bard,36926.79,35889.17,34901.17,34187.99,33397.37,33041.35,32715.69,32204.23,31730.28,30976.17,30471.65,30030.98,29704.84,28356.33,19395.75
BlackMage,37567.31,36134.18,34958.73,34474.12,33399.92,32934.07,32367.56,31699.02,30892.07,30163.56,29179.50,28402.49,27911.82,26429.65,21980.33
Viper,37152.85,36163.31,35156.76,33851.14,32780.78,32617.10,32370.73,31674.99,31090.10,30507.75,29890.47,29607.79,29336.45,28310.28,16824.20
Dancer,37021.28,35462.81,34364.90,33761.63,32837.91,32569.03,32359.23,31818.14,31427.97,30985.63,30449.19,30129.41,29716.16,28735.41,23025.13
Paladin,27000.86,26362.88,25796.36,25016.81,24195.17,23798.82,23525.97,22942.22,22392.92,21857.73,21112.05,20695.70,20226.32,18888.04,9612.38
Gunbreaker,26331.71,25222.54,24495.01,24009.12,23042.11,22720.82,22440.97,21970.78,21489.20,20966.51,20372.34,20018.89,19518.31,18346.18,8300.95
Warrior,25120.64,24425.20,23509.94,22960.56,22181.65,21912.95,21634.58,21137.90,20653.44,20175.95,19705.39,19414.84,19091.71,18008.14,12319.54
DarkKnight,26144.84,24752.37,23753.57,22986.70,22115.62,21775.40,21508.90,21014.00,20554.69,19838.60,19291.44,18857.79,18578.12,17459.91,12022.51
WhiteMage,23997.31,23344.36,22128.44,21442.42,19977.78,19486.68,19216.53,18591.16,17862.92,17243.25,16489.13,16094.32,15572.08,14529.61,8858.95
Sage,21545.19,20777.77,19507.51,18758.97,17901.42,17563.54,17306.84,16752.37,16142.35,15567.92,14860.67,14415.57,13864.21,12721.42,3022.11
Astrologian,21470.47,19846.72,18665.64,18148.81,17438.65,17100.39,16818.10,16390.90,15911.93,15437.70,14970.04,14660.41,14296.20,13491.67,5317.79
Scholar,17222.46,16647.18,15906.38,15356.25,14708.46,14502.39,14260.98,13864.70,13515.82,13146.11,12701.79,12484.66,12077.38,11159.77,4680.21
