Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
BlackMage,13981.75,13372.42,12866.53,12695.23,12543.85,12460.51,12392.02,12290.17,12178.83,12070.74,11928.62,11836.09,11777.28,11505.35,9672.45
Monk,13070.91,12882.67,12633.80,12501.00,12331.10,12265.34,12220.01,12109.60,12026.52,11911.02,11798.77,11744.76,11620.94,11373.45,8431.57
Dragoon,12781.66,12682.51,12434.90,12313.66,12148.25,12085.94,12011.71,11864.54,11786.90,11668.57,11541.79,11474.85,11396.42,11173.82,8762.79
Viper,12726.48,12555.61,12298.30,12148.07,11954.02,11893.83,11845.85,11700.01,11607.59,11424.93,11287.70,11183.86,11079.39,10843.83,9294.15
Reaper,12626.65,12464.25,12255.50,12101.78,11951.04,11879.86,11831.75,11695.73,11562.38,11472.22,11317.76,11248.43,11153.25,10795.32,9407.20
Samurai,12486.32,12380.06,12195.36,12032.62,11921.01,11871.59,11790.01,11663.21,11559.80,11468.38,11329.34,11243.61,11150.60,10763.37,9753.88
Pictomancer,13345.63,12635.84,12336.22,12188.79,11982.27,11868.04,11794.43,11703.75,11578.02,11454.69,11324.45,11248.61,11184.85,10891.05,9277.85
Ninja,12773.01,12506.76,12261.44,12090.35,11891.96,11845.87,11790.91,11674.46,11564.60,11472.22,11397.08,11311.58,11209.88,11004.49,9243.68
Bard,12383.95,12113.96,11910.27,11785.48,11651.49,11585.39,11515.35,11424.04,11338.91,11250.95,11133.57,11070.83,10988.22,10789.16,10170.23
Machinist,12064.18,11773.45,11645.46,11558.92,11408.12,11356.47,11320.16,11243.56,11132.52,11027.51,10938.66,10868.23,10815.85,10540.62,9298.67
RedMage,11988.41,11935.37,11633.82,11522.01,11393.14,11278.41,11219.39,11105.40,10977.32,10815.76,10704.99,10636.10,10604.16,10418.34,9384.45
Summoner,12037.89,11783.77,11433.94,11331.06,11195.78,11124.87,11048.07,10976.01,10874.50,10789.71,10706.41,10646.71,10577.01,10386.83,9231.65
Dancer,11954.04,11730.69,11484.57,11352.88,11145.13,11074.75,11022.62,10922.46,10832.47,10712.51,10603.87,10546.86,10462.90,10247.22,8667.75
Warrior,8120.96,7995.36,7900.46,7848.03,7775.60,7745.61,7715.72,7658.82,7607.61,7554.01,7472.71,7431.77,7390.95,7260.67,6425.26
Paladin,8120.76,7998.22,7888.12,7791.12,7688.28,7630.46,7604.28,7518.66,7434.57,7361.33,7290.84,7260.25,7201.41,7083.76,3106.93
DarkKnight,7984.56,7875.29,7770.54,7686.30,7594.81,7543.20,7501.48,7428.28,7367.94,7308.34,7239.80,7206.46,7153.82,7013.27,4440.64
Gunbreaker,7916.65,7704.63,7608.90,7556.88,7482.78,7450.58,7406.53,7337.03,7281.55,7220.94,7151.12,7120.01,7087.21,6970.48,5789.20
Astrologian,7811.32,6992.25,6815.88,6680.74,6531.79,6458.71,6400.44,6292.34,6180.69,6075.27,5936.17,5839.01,5769.57,5511.90,3263.42
Scholar,7195.81,7036.33,6699.11,6544.32,6294.69,6217.44,6132.21,6010.40,5871.57,5778.35,5671.03,5604.87,5512.85,5268.13,3670.98
Sage,6959.54,6565.63,6404.22,6312.15,6128.74,6049.65,5969.64,5817.00,5687.71,5546.76,5391.18,5293.66,5205.08,4985.72,3727.88
WhiteMage,7221.29,6861.96,6437.41,6293.80,6096.74,6045.02,5992.24,5871.19,5707.44,5597.09,5418.58,5317.63,5234.99,4977.72,2748.45
