Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
BlackMage,13203.59,13071.18,12501.38,12246.16,11902.90,11797.18,11715.29,11521.03,11351.02,11185.24,11041.05,10954.37,10863.87,10591.41,6705.59
Monk,13109.11,12686.48,12410.53,12042.09,11637.33,11490.91,11404.04,11258.23,11143.85,10978.14,10860.98,10812.80,10724.85,10459.73,8555.51
Pictomancer,13362.06,13048.69,12477.92,12066.37,11373.27,11207.26,11093.28,10874.10,10706.94,10568.93,10409.31,10341.05,10248.66,10066.39,8206.70
Samurai,12777.89,12193.42,11772.78,11528.38,11249.89,11165.40,11096.08,10960.95,10824.39,10695.57,10549.40,10460.63,10397.97,10155.51,8446.14
Ninja,12231.26,12065.69,11758.45,11543.06,11222.81,11141.69,11020.20,10879.33,10755.37,10617.61,10394.85,10294.78,10185.08,9907.26,8768.80
Viper,12381.47,12100.04,11738.35,11503.40,11249.05,11128.39,11040.62,10891.10,10757.53,10626.44,10513.38,10449.48,10383.84,10166.12,8740.86
Dragoon,12269.65,12130.26,11839.71,11572.17,11260.83,11117.63,11026.06,10885.19,10767.52,10661.03,10534.80,10481.10,10426.10,10250.37,8710.93
Reaper,12315.97,12026.81,11653.78,11414.84,11037.66,10910.98,10811.92,10607.88,10463.65,10322.20,10163.36,10046.32,9970.10,9674.52,8410.78
Summoner,11847.61,11650.23,11312.46,11075.71,10777.89,10686.84,10564.16,10428.11,10316.37,10126.90,9979.83,9934.47,9867.92,9614.93,8704.85
Machinist,11525.73,11373.11,11181.91,10954.73,10592.85,10469.58,10380.16,10218.35,10089.18,9941.44,9757.33,9638.13,9555.05,9291.55,8033.92
RedMage,11693.69,11521.34,11023.86,10743.56,10415.74,10339.41,10316.58,10191.66,10076.93,9973.84,9869.92,9755.96,9704.70,9596.45,9103.52
Dancer,12182.16,11440.64,11008.46,10571.58,10142.16,10009.20,9922.15,9718.57,9587.40,9419.15,9296.34,9224.52,9131.88,8927.07,7989.30
Bard,11563.09,11369.06,10976.83,10320.29,9658.27,9543.55,9471.51,9328.88,9240.37,9143.72,9063.41,9041.88,9007.39,8857.16,8349.41
Warrior,8166.91,8004.05,7788.41,7615.29,7449.11,7384.13,7340.33,7246.50,7153.99,7065.85,6925.45,6844.49,6797.29,6563.74,3975.90
Paladin,8086.52,7849.48,7619.36,7469.64,7291.22,7233.03,7176.98,7087.66,7022.26,6950.65,6856.03,6814.95,6768.13,6564.47,5172.26
DarkKnight,7876.25,7669.38,7420.78,7279.21,7011.23,6927.14,6874.99,6728.21,6630.67,6541.87,6458.49,6422.49,6380.48,6264.90,5299.91
Gunbreaker,7946.97,7609.82,7287.04,7087.61,6962.05,6890.22,6852.48,6773.76,6691.93,6633.34,6563.52,6523.77,6483.32,6364.49,5046.85
Sage,7240.94,7182.40,7011.54,6888.93,6727.77,6655.44,6559.54,6373.08,6229.49,6065.42,5916.90,5824.91,5759.46,5503.54,2847.99
Scholar,7470.84,7174.61,6865.45,6669.98,6439.09,6357.34,6291.90,6160.22,6031.68,5905.52,5784.61,5716.20,5626.55,5430.40,2859.60
WhiteMage,7322.54,7052.43,6814.92,6649.59,6421.25,6332.83,6277.33,6129.54,6020.92,5898.51,5768.54,5690.41,5621.40,5394.10,4058.89
Astrologian,7415.47,6852.96,6568.49,6371.23,6171.73,6112.87,6048.92,5926.77,5845.58,5750.14,5641.46,5587.76,5536.69,5371.19,3853.36
