Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Reaper,47726.04,47674.68,46771.75,45987.84,45531.99,45109.76,44972.44,44527.46,43957.74,43482.46,43153.31,42774.37,42539.70,41968.64,32753.60
Viper,45840.70,45759.18,45420.56,44931.74,44110.83,43764.71,43389.46,43177.90,42780.63,42423.04,41886.07,41617.15,41247.00,40749.36,38298.90
Samurai,44192.29,44186.45,44103.26,43954.21,43416.16,43227.03,43043.37,42857.40,42620.22,42547.20,42162.68,41980.52,41892.53,41171.61,39678.52
BlackMage,45989.73,45182.50,43740.80,43436.75,42716.96,42551.55,42478.17,42243.35,42042.86,41853.51,41602.02,41308.19,41134.99,40461.18,37191.81
Summoner,43478.91,43464.25,43380.31,43049.93,42508.41,42482.91,42356.81,41960.18,41747.49,41280.59,41085.80,40711.03,40514.01,40177.42,37017.96
Dragoon,45189.43,44426.37,43283.69,43176.94,42387.25,41965.25,41711.93,41439.53,41205.24,40703.89,40409.06,40192.79,40010.84,39710.77,32375.49
Ninja,43620.35,43583.59,43480.03,43353.35,42201.68,41781.56,41663.44,41435.59,41136.47,40582.08,40434.91,40422.47,40009.52,39479.14,36047.24
Monk,44035.66,43936.28,43431.09,42844.40,42235.95,41780.23,41510.44,41006.75,40841.61,40285.17,40144.43,40127.21,39862.01,39023.26,35125.30
RedMage,43291.80,43224.09,42780.88,42126.75,41732.87,41538.11,41399.10,40922.38,40639.29,40240.78,39795.49,39341.87,39087.27,38546.15,32915.73
Pictomancer,43717.22,43550.73,42884.76,41965.32,41058.79,40799.23,40625.52,40475.23,40378.14,40248.36,39969.73,39670.32,39450.35,38578.49,36161.83
Machinist,41376.60,41360.68,41297.00,41130.96,40616.79,40504.43,40190.19,39923.39,39717.73,39408.70,39126.31,38915.24,38815.03,38393.96,33193.02
Bard,41683.69,41652.74,41112.97,40592.80,40207.98,39996.36,39758.18,39450.08,39204.25,38752.70,38195.15,38080.99,37878.23,37173.53,32258.02
Dancer,41353.82,41191.95,40988.63,39961.97,39709.92,39400.10,39177.51,38928.92,38519.48,38275.16,38066.18,37997.52,37960.92,37473.59,33192.63
Warrior,28918.60,28880.73,28633.13,28452.31,28284.34,28195.79,28108.00,27993.91,27844.78,27522.37,27197.52,27008.99,26892.17,26146.81,14957.89
Gunbreaker,29326.80,29175.81,28571.84,28361.24,27680.97,27633.26,27583.67,27499.27,27260.46,27141.09,26899.64,26862.69,26776.43,24781.37,21997.69
DarkKnight,28856.36,28610.30,28180.34,27810.16,27495.68,27362.17,27293.81,27123.89,26970.38,26822.35,26607.56,26496.94,26339.75,25850.44,18443.71
Paladin,29064.77,28281.74,27901.21,27688.87,27224.41,27136.49,27042.71,26846.29,26706.87,26560.61,26329.84,26233.41,25960.39,25529.07,19142.05
WhiteMage,22486.11,22045.15,21414.20,20922.07,20089.45,19800.55,19426.30,18407.37,17887.61,17613.29,17281.22,17147.84,16651.17,15841.11,12344.34
Astrologian,23173.82,21927.31,20616.79,19993.00,19566.96,19179.14,18952.52,18485.29,18117.89,17653.22,17249.12,16968.88,16593.59,15442.29,12697.19
Scholar,20174.79,20061.10,19523.71,19069.30,18470.39,18293.30,17944.86,17444.93,17030.66,16582.85,16159.14,15862.09,15657.80,14782.40,8315.29
Sage,20277.46,20017.19,19443.77,19165.52,17907.66,17907.44,17793.35,17052.42,16850.29,16450.30,15778.77,15697.40,15483.31,14371.59,10529.83
