Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Reaper,48367.86,47998.59,46698.51,46332.12,45592.18,45362.96,44980.03,44532.92,44085.25,43720.78,43108.55,42758.45,42395.08,41241.69,34058.79
Viper,46562.13,45880.44,45259.96,44802.62,44119.09,43809.78,43656.83,43220.33,42797.60,42331.09,41848.55,41507.62,41179.32,40126.98,32947.64
BlackMage,46289.72,45510.13,44719.02,44251.49,43737.60,43533.52,43389.70,42964.86,42701.52,42155.64,41809.97,41614.00,41336.89,40570.76,34416.26
Samurai,45771.09,45591.63,44378.93,44088.28,43492.25,43365.89,43245.99,42860.21,42654.80,42215.31,41903.53,41614.43,41258.08,40531.43,30479.12
Summoner,44500.81,43801.99,43351.99,42995.30,42467.47,42304.59,42070.84,41707.31,41327.59,40969.28,40745.85,40510.23,40354.08,39931.50,32497.36
Monk,45256.01,44297.26,43768.80,43389.96,42367.58,42198.18,41947.30,41485.33,41082.89,40753.47,40391.45,40232.08,40046.56,39308.67,34159.51
Dragoon,44589.38,44462.53,43691.51,43150.30,42342.66,42029.57,41865.79,41612.30,41364.58,41042.17,40545.40,40384.02,40125.71,39382.29,32360.62
Ninja,43620.35,43297.77,42785.00,42582.28,41897.85,41698.67,41482.23,41157.86,40918.52,40637.71,40256.24,40110.30,39861.32,39101.29,35060.02
Pictomancer,43867.87,43745.84,42573.01,42354.97,41848.93,41566.79,41329.35,40825.70,40389.07,40240.41,39656.81,39296.03,38984.29,38316.18,32322.21
RedMage,44326.07,43712.31,42967.01,42424.67,41812.73,41552.83,41384.27,40913.85,40460.28,40155.39,39678.46,39457.00,39287.71,38508.00,32198.00
Machinist,42154.69,41520.41,41234.72,40763.36,40372.83,40277.39,40098.36,39935.32,39401.25,39154.52,38753.72,38638.42,38513.09,37035.97,30054.51
Bard,42716.87,41957.10,40641.60,40325.41,40033.90,39822.22,39562.80,39275.86,38945.59,38676.31,38233.33,37943.54,37628.40,36823.30,25008.50
Dancer,42217.42,41340.83,40700.54,39996.41,39568.77,39360.67,39148.64,38835.37,38495.31,38227.08,37938.01,37766.51,37641.22,36882.87,30592.78
Gunbreaker,29326.80,29139.47,28736.31,28522.66,28205.66,28065.11,27939.27,27690.85,27497.80,27288.92,27086.62,26903.47,26832.71,26220.51,21997.69
Warrior,28918.60,28858.24,28469.84,28259.25,28072.48,27984.16,27953.89,27762.34,27563.48,27411.80,27185.60,27143.86,27041.43,26666.02,23720.40
DarkKnight,29251.09,28485.68,28207.49,27902.61,27587.08,27471.02,27355.08,27167.12,27001.00,26808.76,26539.85,26408.18,26294.62,25630.19,15309.30
Paladin,29061.88,28552.10,27976.73,27770.56,27400.18,27236.14,27116.63,26908.53,26751.51,26491.61,26298.34,26167.25,25975.27,25459.78,17354.85
WhiteMage,22625.49,22271.15,21174.85,20361.90,19646.90,19461.57,19185.89,18570.10,18260.97,17774.52,17228.09,16950.31,16612.67,15554.36,11019.62
Astrologian,22468.60,21776.16,20560.71,20137.23,19518.39,19209.79,18996.02,18478.02,18074.17,17730.61,17287.72,17061.82,16702.43,15629.89,10292.42
Sage,21838.85,21260.14,19993.96,19444.92,18529.39,18028.00,17918.01,17651.21,17278.96,16800.48,16234.77,15939.50,15669.22,14258.93,9253.01
Scholar,21224.73,20044.96,19280.90,18764.38,18326.75,17990.97,17794.89,17381.12,16967.55,16445.33,15959.35,15708.47,15343.51,14644.62,8315.29
