Key,100,99,95,90,80,75,70,60,50,40,30,25,20,10,0
Monk,44338.01,44169.78,43603.36,43339.41,43155.09,42630.18,42469.98,42165.99,41498.04,41387.40,41058.78,41019.42,40983.34,40110.18,39209.79
Dragoon,45124.98,45124.98,44008.09,43629.25,43339.87,42601.79,42559.31,42246.99,42013.61,41624.67,41209.39,41010.88,40748.93,40090.81,38077.70
Ninja,43248.53,43134.13,42768.64,42632.01,42510.47,42139.22,41998.99,41631.52,41592.25,40724.34,40347.24,40085.75,39960.67,39338.79,39018.59
Summoner,43745.70,43466.23,43062.76,42737.46,42305.86,41856.00,41730.56,41405.71,41125.46,40918.59,40705.44,40513.42,40095.99,39335.59,37524.16
BlackMage,44057.50,43902.96,43023.41,42585.84,41739.81,41458.52,41248.60,40957.63,40473.68,40099.72,39614.01,39385.80,39293.14,38568.96,35914.33
Reaper,44756.40,43767.38,42872.19,42436.88,41550.43,41340.05,41044.72,40553.71,40353.19,39849.91,39484.98,39299.47,39081.46,37891.47,36363.24
RedMage,42269.49,42263.93,42075.15,41421.38,41208.29,41071.50,40887.35,40329.36,40085.10,39814.54,39358.05,39205.45,38878.62,38339.67,36381.68
Pictomancer,41843.44,41759.14,41421.93,41184.51,41087.59,40875.37,40734.89,40635.01,40452.76,40440.54,39976.40,39914.98,39976.00,38870.56,37900.63
Samurai,42943.43,42662.32,41881.12,41406.63,40686.60,40412.01,40277.01,40033.56,39550.91,39321.58,38987.59,38898.93,38745.25,38220.47,36256.46
Viper,43177.72,43104.83,41924.92,40564.24,39695.39,39566.28,39383.68,39050.76,38523.57,38199.36,37933.50,37815.84,37364.17,36841.12,26860.87
Dancer,42223.77,42034.11,41042.10,40677.45,39815.79,39433.48,39246.80,38782.98,38451.67,37999.37,37724.24,37596.36,37079.10,36856.86,35856.02
Machinist,39766.35,39629.38,39251.89,39041.11,38788.65,38649.88,38603.55,38557.52,38112.89,37840.92,37330.12,36975.20,36956.88,36441.65,34934.33
Bard,40280.69,40209.92,39744.04,39353.43,38761.71,38623.03,38402.37,37933.16,37643.16,37301.64,36826.49,36591.24,36413.85,35649.89,34246.85
Paladin,29188.63,28567.27,28130.81,28015.01,27612.62,27422.59,27237.64,26901.47,26577.31,26288.01,25841.96,25527.27,25221.07,24635.25,20666.77
Gunbreaker,28173.94,28026.97,27530.69,27391.66,27109.38,27071.35,26855.61,26318.37,25994.79,25113.90,24547.99,23653.63,23534.04,22737.39,21905.14
Warrior,28269.54,28169.80,27782.71,27649.06,27111.54,26993.57,26905.10,26683.88,26488.24,26343.84,26170.61,25956.86,25596.01,24531.24,23204.55
DarkKnight,28374.14,28178.15,27706.70,27382.46,27032.66,26828.97,26744.52,26615.08,26416.18,26162.97,25894.37,25771.20,25683.72,25473.05,21135.36
Sage,24848.21,24812.33,24668.83,24489.46,24018.53,23740.99,23508.51,23268.79,23041.45,22770.87,22379.79,22070.55,21715.82,21157.00,20799.02
Astrologian,25272.11,25201.27,24681.03,24087.17,23486.80,23343.59,23230.41,22971.67,22606.79,22211.42,21953.75,21792.48,21587.59,20824.85,19846.80
WhiteMage,25405.81,25211.57,24520.27,24158.64,23538.25,23292.67,23046.06,22710.66,22446.65,22115.12,21813.97,21581.59,21431.13,20974.35,19750.89
Scholar,25077.06,24398.69,23321.23,22869.32,22418.92,22176.22,22005.48,21588.29,21279.74,20933.27,20522.90,20354.14,20003.32,19229.25,17303.83
